Instance	Iteration0	Iteration1	Iteration2	Iteration3	Iteration4	Iteration5	Iteration6	Iteration7	Iteration8	Iteration9	Iteration10	Iteration11	Iteration12	Iteration13	Iteration14	Iteration15	Iteration16	Iteration17	Iteration18	Iteration19	Iteration20	Iteration21	Iteration22	Iteration23	Iteration24	Iteration25	Iteration26	Iteration27	Iteration28	Iteration29	Iteration30	Iteration31	Iteration32	Iteration33	Iteration34	Iteration35	Iteration36	Iteration37	Iteration38	Iteration39	Iteration40	Iteration41	Iteration42	Iteration43	Iteration44	Iteration45	Iteration46	Iteration47	Iteration48	Iteration49	Iteration50	
0	5.581379310344828	5.615172413793103	5.539310344827586	5.371724137931034	5.244137931034484	5.122758620689655	5.113448275862068	5.087931034482759	5.044482758620689	5.0006896551724145	4.97	4.887931034482759	4.882758620689655	4.8806896551724135	4.864137931034483	4.857586206896552	4.855862068965517	4.849655172413794	4.843103448275863	4.8420689655172415	4.841034482758621	4.83551724137931	4.829655172413793	4.826206896551724	4.822413793103448	4.929655172413794	4.84551724137931	4.8389655172413795	4.840000000000001	4.845172413793103	4.840344827586207	4.806551724137932	4.770344827586207	4.726551724137931	4.6689655172413795	4.655172413793103	4.612758620689656	4.591724137931035	4.591724137931035	4.579655172413793	4.561034482758621	4.561034482758621	4.552758620689655	4.548620689655173	4.542758620689655	4.542758620689655	4.538620689655173	4.536896551724138	4.536896551724138	4.523793103448276	4.515862068965517	4.548810229284696
1	5.577931034482758	5.601379310344828	5.568275862068965	5.561379310344828	5.503103448275862	5.52448275862069	5.509655172413793	5.40551724137931	5.263103448275862	5.212758620689656	5.11551724137931	5.128620689655172	5.097241379310344	5.010689655172414	5.0055172413793105	4.9527586206896554	4.911379310344828	4.854137931034483	4.848275862068966	4.8324137931034485	4.81551724137931	4.81551724137931	4.803103448275862	4.802413793103448	4.797586206896551	4.787931034482758	4.787241379310346	4.783103448275862	4.780689655172415	4.777586206896552	4.77448275862069	4.729310344827587	4.66	4.621724137931034	4.606206896551725	4.576206896551724	4.562758620689655	4.560344827586207	4.539655172413793	4.496551724137931	4.492413793103449	4.476206896551724	4.474827586206897	4.441379310344828	4.441379310344828	4.418275862068965	4.418275862068965	4.418275862068965	4.417586206896552	4.404827586206897	4.404827586206897	4.426564875941101
2	5.661379310344828	5.638275862068965	5.748620689655173	5.742068965517242	5.743103448275862	5.698620689655172	5.557586206896552	5.559655172413793	5.380000000000001	5.299655172413793	5.133448275862069	5.105862068965517	5.08344827586207	5.1162068965517244	5.121724137931034	5.092413793103448	5.056896551724138	5.046206896551724	5.031034482758621	5.0024137931034485	4.915517241379311	4.883103448275863	4.8789655172413795	4.881379310344828	4.848275862068966	4.848275862068966	4.8341379310344825	4.827586206896552	4.847241379310344	4.816551724137931	4.815172413793104	4.777241379310345	4.752758620689655	4.7058620689655175	4.697586206896552	4.665517241379311	4.650689655172414	4.613793103448276	4.597586206896552	4.583793103448276	4.574827586206897	4.574827586206897	4.572413793103448	4.538965517241379	4.538275862068966	4.538275862068966	4.533793103448276	4.533793103448276	4.531724137931035	4.531379310344827	4.523793103448276	4.538796987301831
3	5.6000000000000005	5.578965517241379	5.6210344827586205	5.599655172413794	5.599655172413794	5.636551724137932	5.58344827586207	5.5600000000000005	5.591724137931035	5.476896551724138	5.316206896551725	5.283103448275862	5.304827586206897	5.319310344827586	5.267586206896551	5.266551724137931	5.25	5.23	5.185862068965518	5.157931034482759	5.087931034482759	5.082758620689655	5.017931034482759	4.976206896551724	4.898620689655172	4.842413793103448	4.823793103448276	4.8196551724137935	4.863448275862068	4.882068965517242	4.82551724137931	4.770689655172413	4.732068965517241	4.72103448275862	4.672413793103448	4.653448275862068	4.6417241379310346	4.597586206896552	4.59344827586207	4.591724137931035	4.549655172413793	4.513103448275862	4.513103448275862	4.492413793103449	4.492413793103449	4.488620689655173	4.48103448275862	4.479310344827587	4.479310344827587	4.476896551724138	4.471379310344828	4.476301500705298
4	5.652758620689656	5.713103448275862	5.679655172413794	5.6851724137931035	5.732068965517241	5.722413793103449	5.680689655172414	5.6403448275862065	5.671034482758621	5.666551724137931	5.531379310344827	5.4093103448275865	5.290689655172414	5.293448275862069	5.285862068965517	5.236551724137931	5.207586206896552	5.195172413793103	5.127586206896552	5.101724137931035	5.059310344827586	5.053793103448276	5.017586206896551	5.003448275862069	4.9558620689655175	4.9303448275862065	4.865172413793103	4.864137931034483	4.856896551724137	4.853793103448275	4.840344827586207	4.806896551724138	4.797931034482759	4.757586206896551	4.724137931034483	4.722068965517241	4.66448275862069	4.627241379310345	4.5920689655172415	4.585862068965517	4.580344827586208	4.58	4.58	4.578965517241379	4.578965517241379	4.558275862068966	4.548620689655173	4.541724137931035	4.526551724137931	4.526551724137931	4.526551724137931	4.525869752044314
5	5.673793103448276	5.650689655172414	5.655172413793103	5.617586206896552	5.652068965517241	5.60448275862069	5.6096551724137935	5.577241379310345	5.536551724137931	5.557586206896552	5.381034482758621	5.289655172413793	5.1755172413793105	5.170689655172414	5.1944827586206905	5.0648275862068965	5.062068965517242	5.046551724137931	5.024137931034483	4.859310344827587	4.883103448275863	4.852413793103448	4.883103448275863	4.911034482758621	4.741724137931034	4.7700000000000005	4.744827586206896	4.736551724137931	4.733793103448276	4.721379310344828	4.707931034482758	4.683103448275862	4.647241379310345	4.61	4.591724137931035	4.555862068965517	4.555862068965517	4.555862068965517	4.533793103448276	4.51896551724138	4.51896551724138	4.518620689655172	4.516551724137931	4.516206896551724	4.495172413793104	4.493448275862069	4.493448275862069	4.491379310344827	4.489310344827586	4.489310344827586	4.489310344827586	4.493447226824805
6	5.7475862068965515	5.770689655172413	5.789310344827586	5.7827586206896555	5.812758620689655	5.8341379310344825	5.754482758620689	5.752068965517242	5.74	5.5793103448275865	5.445862068965518	5.298965517241379	5.24896551724138	5.2444827586206895	5.238275862068965	5.152758620689656	5.170344827586207	5.113103448275862	5.086551724137931	4.993103448275862	4.957241379310345	4.845172413793103	4.816206896551725	4.803103448275862	4.792758620689655	4.780344827586207	4.778620689655173	4.777931034482759	4.7717241379310344	4.767931034482759	4.775172413793103	4.7475862068965515	4.7155172413793105	4.7155172413793105	4.666896551724138	4.655172413793103	4.654137931034483	4.6337931034482756	4.631379310344828	4.631379310344828	4.631034482758621	4.6289655172413795	4.619655172413793	4.618620689655172	4.618275862068966	4.609310344827587	4.605862068965517	4.5841379310344825	4.5824137931034485	4.5824137931034485	4.581724137931035	4.620564773432971
7	5.564137931034483	5.54103448275862	5.63551724137931	5.633448275862069	5.5920689655172415	5.61896551724138	5.606896551724137	5.570689655172414	5.606206896551725	5.431034482758621	5.293448275862069	5.16	5.05448275862069	5.042068965517242	5.036206896551724	5.013103448275862	5.005172413793104	4.86896551724138	4.754827586206897	4.749655172413793	4.747241379310346	4.743448275862069	4.731724137931034	4.728620689655172	4.72551724137931	4.723793103448276	4.720689655172414	4.692068965517241	4.686551724137931	4.708620689655173	4.773793103448276	4.701379310344827	4.665172413793103	4.662068965517241	4.639655172413794	4.627586206896551	4.588275862068966	4.5727586206896556	4.567586206896552	4.545172413793104	4.545172413793104	4.5151724137931035	4.495517241379311	4.481379310344828	4.479655172413793	4.45896551724138	4.45896551724138	4.45896551724138	4.458275862068965	4.4541379310344835	4.4541379310344835	4.46290911606658
8	5.55103448275862	5.5810344827586205	5.579655172413793	5.513793103448276	5.418620689655173	5.2620689655172415	5.140689655172414	5.152413793103449	5.137931034482759	5.098965517241379	5.0713793103448275	5.031724137931035	5.01448275862069	5.01	4.9093103448275865	4.850344827586206	4.845862068965517	4.833793103448276	4.823793103448276	4.815862068965517	4.815172413793104	4.813103448275863	4.812758620689655	4.811034482758621	4.808620689655173	4.8341379310344825	4.80103448275862	4.822413793103448	4.816206896551725	4.787241379310346	4.783793103448276	4.7634482758620695	4.717931034482758	4.707586206896552	4.7058620689655175	4.68	4.637241379310344	4.632068965517242	4.632068965517242	4.6193103448275865	4.618965517241379	4.602068965517241	4.584482758620689	4.563793103448275	4.520689655172413	4.517586206896551	4.487586206896553	4.485172413793103	4.485172413793103	4.48103448275862	4.4782758620689656	4.489396686708001
9	5.645862068965517	5.647931034482759	5.637241379310344	5.649310344827587	5.632068965517242	5.661379310344828	5.476206896551724	5.359310344827587	5.248275862068966	5.244827586206896	5.240344827586207	5.233103448275862	5.2027586206896554	5.141379310344828	5.122413793103449	5.08	5.0248275862068965	4.937586206896552	4.929655172413794	4.853793103448275	4.83	4.83	4.852758620689655	4.8565517241379315	4.846896551724138	4.834827586206897	4.828275862068966	4.807241379310344	4.8100000000000005	4.803793103448276	4.8020689655172415	4.785517241379311	4.7379310344827585	4.696206896551724	4.616551724137931	4.591724137931035	4.588620689655172	4.582758620689655	4.568275862068965	4.557241379310344	4.553103448275862	4.549310344827586	4.549310344827586	4.525517241379311	4.524137931034482	4.523448275862069	4.523448275862069	4.5231034482758625	4.5231034482758625	4.5231034482758625	4.5231034482758625	4.5388629430742276
