Instance	Iteration0	Iteration1	Iteration2	Iteration3	Iteration4	Iteration5	Iteration6	Iteration7	Iteration8	Iteration9	Iteration10	Iteration11	Iteration12	Iteration13	Iteration14	Iteration15	Iteration16	Iteration17	Iteration18	Iteration19	Iteration20	Iteration21	Iteration22	Iteration23	Iteration24	Iteration25	Iteration26	Iteration27	Iteration28	Iteration29	Iteration30	Iteration31	Iteration32	Iteration33	Iteration34	Iteration35	Iteration36	Iteration37	Iteration38	Iteration39	Iteration40	Iteration41	Iteration42	Iteration43	Iteration44	Iteration45	Iteration46	Iteration47	Iteration48	Iteration49	Iteration50	Iteration51	
0	5.5818518518518525	5.522592592592593	5.535555555555556	5.388518518518519	5.269629629629629	5.149629629629629	5.098148148148148	5.075925925925926	4.998148148148148	4.970740740740741	4.881851851851852	4.880740740740741	4.867037037037037	4.85962962962963	4.849259259259259	4.847407407407407	4.844814814814815	4.844444444444445	4.844444444444445	4.842592592592593	4.842592592592593	4.846296296296296	4.846296296296296	4.84037037037037	4.837037037037037	4.832222222222222	4.825185185185185	4.821111111111112	4.821481481481482	4.819629629629629	4.818888888888889	4.805185185185185	4.767037037037038	4.706666666666667	4.69925925925926	4.687037037037037	4.6651851851851855	4.636666666666667	4.58962962962963	4.587407407407407	4.587037037037037	4.572962962962963	4.572962962962963	4.572962962962963	4.547777777777778	4.535925925925926	4.532222222222223	4.496296296296297	4.496296296296297	4.4725925925925925	4.470370370370371	4.492236113146937
1	5.578888888888889	5.5781481481481485	5.502962962962964	5.5166666666666675	5.575925925925926	5.547407407407407	5.405925925925926	5.205185185185185	5.148518518518518	5.141851851851852	5.12	5.1359259259259264	5.029259259259259	5.022222222222222	4.954074074074073	4.904814814814815	4.843703703703704	4.866666666666667	4.861851851851852	4.822962962962963	4.816296296296296	4.800740740740741	4.79925925925926	4.7988888888888885	4.795925925925927	4.787407407407407	4.782962962962963	4.778518518518519	4.771851851851852	4.773333333333333	4.771481481481482	4.738148148148149	4.690740740740741	4.686296296296296	4.685925925925925	4.636666666666667	4.631851851851852	4.63	4.608888888888889	4.584814814814815	4.537037037037037	4.513333333333334	4.50962962962963	4.50962962962963	4.5092592592592595	4.497037037037037	4.48925925925926	4.48925925925926	4.48925925925926	4.48925925925926	4.48925925925926	4.507929430069695
2	5.666666666666667	5.761851851851851	5.73925925925926	5.7448148148148155	5.586296296296297	5.580370370370371	5.544444444444445	5.673703703703704	5.55	5.328518518518519	5.217037037037038	5.148888888888889	5.152592592592593	5.091481481481481	5.067407407407408	5.0562962962962965	5.024074074074075	5.022222222222222	5.021481481481482	4.9948148148148155	4.95962962962963	4.866296296296297	4.838148148148148	4.7881481481481485	4.812222222222222	4.804814814814814	4.801851851851852	4.794814814814815	4.812222222222222	4.810370370370371	4.808518518518519	4.785185185185185	4.745185185185186	4.723333333333334	4.720740740740741	4.707037037037037	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.706666666666667	4.725096659678235
3	5.590740740740741	5.6433333333333335	5.519259259259259	5.51074074074074	5.497407407407407	5.457777777777778	5.448148148148148	5.351481481481482	5.241481481481482	5.267037037037038	5.234814814814815	5.245185185185186	5.2118518518518515	5.162222222222222	5.176666666666667	5.154814814814815	5.0777777777777775	4.975185185185186	4.858148148148149	4.858148148148149	4.858148148148149	4.8	4.7881481481481485	4.761851851851851	4.816296296296296	4.773333333333333	4.754814814814814	4.741851851851852	4.724074074074074	4.722222222222222	4.732222222222222	4.729629629629629	4.6792592592592595	4.641851851851852	4.584074074074074	4.565925925925926	4.547777777777778	4.535555555555556	4.49962962962963	4.49037037037037	4.48925925925926	4.485925925925926	4.45962962962963	4.4585185185185185	4.455555555555556	4.449259259259259	4.449259259259259	4.449259259259259	4.449259259259259	4.449259259259259	4.439259259259259	4.463956874382247
4	5.656296296296296	5.734074074074074	5.7374074074074075	5.834444444444444	5.809259259259259	5.761851851851851	5.749259259259259	5.772592592592593	5.778518518518519	5.731851851851851	5.704074074074073	5.678518518518518	5.711481481481481	5.522222222222222	5.39037037037037	5.278518518518519	5.232962962962962	5.205555555555556	5.203703703703703	5.171481481481481	5.166666666666667	5.147777777777778	5.138888888888889	5.111111111111111	5.086666666666667	5.078888888888889	5.0092592592592595	4.9655555555555555	4.96074074074074	4.927407407407407	4.868518518518518	4.78925925925926	4.778888888888889	4.737037037037037	4.73	4.716666666666667	4.706296296296297	4.6903703703703705	4.652592592592593	4.650740740740741	4.6000000000000005	4.5996296296296295	4.589259259259259	4.5818518518518525	4.58	4.57888888888889	4.577037037037037	4.577037037037037	4.577037037037037	4.577037037037037	4.577037037037037	4.5957396254950575
5	5.690740740740741	5.678888888888889	5.674074074074075	5.675925925925926	5.650740740740741	5.600740740740741	5.551111111111111	5.517777777777777	5.479259259259259	5.391111111111111	5.213333333333333	5.196666666666666	5.189629629629629	5.188888888888889	5.071481481481482	5.044814814814815	5.022222222222222	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.908888888888889	4.823333333333333	4.763703703703704	4.754444444444444	4.721111111111111	4.664074074074074	4.647407407407408	4.622592592592593	4.617777777777778	4.612962962962963	4.612592592592593	4.597037037037037	4.597037037037037	4.597037037037037	4.573703703703704	4.551481481481481	4.551111111111111	4.550740740740741	4.528888888888889	4.528888888888889	4.525555555555555	4.5579733092064485
6	5.747407407407407	5.7159259259259265	5.70962962962963	5.724814814814814	5.666296296296297	5.70925925925926	5.657407407407407	5.657407407407407	5.505185185185185	5.525185185185186	5.461481481481481	5.261481481481481	5.212592592592593	5.183333333333334	5.180370370370371	5.104444444444444	5.054814814814814	4.983333333333333	4.982592592592592	4.938148148148149	4.819629629629629	4.791111111111111	4.775185185185186	4.773333333333333	4.772962962962963	4.771111111111111	4.769629629629629	4.764814814814815	4.757407407407407	4.75037037037037	4.747777777777777	4.745925925925927	4.735185185185186	4.6974074074074075	4.697037037037037	4.685185185185185	4.640740740740741	4.62037037037037	4.601111111111111	4.601111111111111	4.58037037037037	4.578518518518519	4.576296296296296	4.562592592592592	4.562592592592592	4.562592592592592	4.562592592592592	4.562592592592592	4.532592592592592	4.529629629629629	4.529629629629629	4.56130807491138
7	5.611111111111111	5.599259259259259	5.54	5.544444444444445	5.539629629629629	5.573703703703704	5.553703703703705	5.376666666666667	5.442592592592593	5.267407407407408	5.188518518518519	5.155555555555556	5.14037037037037	5.115555555555556	5.075555555555555	5.054444444444444	4.912962962962963	4.904074074074074	4.848518518518518	4.7340740740740745	4.730370370370371	4.716666666666667	4.713703703703704	4.70925925925926	4.707777777777777	4.704444444444444	4.704814814814815	4.7011111111111115	4.694444444444445	4.690740740740741	4.635555555555555	4.597037037037037	4.575185185185185	4.551851851851852	4.55037037037037	4.528888888888889	4.528888888888889	4.514814814814815	4.514814814814815	4.513703703703704	4.513703703703704	4.512222222222222	4.512222222222222	4.512222222222222	4.511481481481481	4.510370370370371	4.4874074074074075	4.485925925925926	4.4840740740740745	4.4840740740740745	4.4840740740740745	4.493066323220456
8	5.551111111111111	5.518518518518518	5.57962962962963	5.592962962962963	5.403333333333334	5.40962962962963	5.236296296296296	5.121851851851852	5.124444444444445	5.141851851851852	5.058888888888889	5.032222222222223	5.018148148148149	4.994074074074074	4.884444444444444	4.858148148148149	4.851481481481482	4.849259259259259	4.808148148148148	4.806666666666667	4.804814814814814	4.801111111111111	4.79962962962963	4.8244444444444445	4.822962962962963	4.822962962962963	4.787037037037037	4.781851851851853	4.77962962962963	4.75037037037037	4.747407407407407	4.726666666666667	4.687037037037037	4.647037037037037	4.6322222222222225	4.599259259259259	4.598888888888889	4.591111111111111	4.567407407407408	4.564074074074075	4.546666666666667	4.546296296296297	4.532592592592592	4.532222222222223	4.512222222222222	4.511851851851852	4.507037037037037	4.507037037037037	4.507037037037037	4.505185185185185	4.503703703703704	4.514825358612918
9	5.668888888888889	5.664074074074074	5.655925925925926	5.66	5.684814814814815	5.666296296296297	5.666666666666667	5.586296296296297	5.658888888888889	5.5600000000000005	5.59037037037037	5.548518518518518	5.537777777777778	5.374444444444445	5.203333333333334	5.218148148148149	5.146666666666667	5.155555555555556	5.151851851851852	5.147407407407407	5.068518518518518	5.026666666666666	4.932592592592592	4.907777777777778	4.844814814814815	4.833333333333333	4.808148148148148	4.797407407407407	4.783333333333333	4.780740740740741	4.766666666666667	4.764444444444445	4.734444444444445	4.706296296296297	4.6718518518518515	4.638148148148148	4.633333333333334	4.607407407407408	4.592592592592593	4.589259259259259	4.581111111111111	4.572962962962963	4.572222222222222	4.556666666666667	4.5529629629629635	4.5529629629629635	4.551851851851852	4.529259259259259	4.529259259259259	4.529259259259259	4.529259259259259	4.547576092304062
