nurses_no,hits,time,cache_enabled
23,0,1057622041,False
23,0,786544959,False
23,0,779852667,False
23,0,788632375,False
23,0,891319584,False
23,0,813101000,False
23,0,807152334,False
23,0,812275042,False
23,0,816547208,False
23,0,773316875,False
23,0,766566000,False
23,0,766769834,False
23,0,766828709,False
23,0,768668666,False
23,0,772382292,False
23,0,772351958,False
23,0,770336500,False
23,0,771794041,False
23,0,768958041,False
23,0,764391375,False
23,0,768844042,False
23,0,770402750,False
23,0,768529500,False
23,0,1014527833,False
23,0,766182500,False
23,0,775222916,False
23,0,767356375,False
23,0,811025916,False
23,0,813145292,False
23,0,800940542,False
23,0,827199625,False
23,0,805182083,False
23,0,787835958,False
23,0,791669625,False
23,0,784388583,False
23,0,810680500,False
23,0,798963167,False
23,0,794919750,False
23,0,809455125,False
23,0,797767042,False
23,0,816024042,False
23,0,802687583,False
23,0,782053583,False
23,0,797215167,False
23,0,791165833,False
23,0,791001459,False
23,0,792781417,False
23,0,883314917,False
23,0,777282542,False
23,0,843404834,False
23,0,820423250,False
23,0,864349083,False
23,0,779833167,False
23,0,777112625,False
23,0,815121083,False
23,0,816817084,False
23,0,791561958,False
23,0,783360500,False
23,0,812734250,False
23,0,787621000,False
23,0,774082041,False
23,0,765605292,False
23,0,767909625,False
23,0,770010167,False
23,0,814674042,False
23,0,769076375,False
23,0,773584375,False
23,0,770746084,False
23,0,798948416,False
23,0,791375333,False
23,0,794036834,False
23,0,771892416,False
23,0,779240375,False
23,0,787867125,False
23,0,781495208,False
23,0,818898666,False
23,0,783797875,False
23,0,786195167,False
23,0,787044583,False
23,0,783243458,False
23,0,781122875,False
23,0,795613292,False
23,0,920375792,False
23,0,774912708,False
23,0,793742291,False
23,0,777619292,False
23,0,774051834,False
23,0,772351500,False
23,0,771742125,False
23,0,796197792,False
23,0,781273333,False
23,0,771718250,False
23,0,774111958,False
23,0,771727125,False
23,0,771721875,False
23,0,783959625,False
23,0,839693125,False
23,0,772694375,False
23,0,787396958,False
23,0,772726959,False
23,0,773562333,False
23,0,782893834,False
23,0,791452875,False
23,0,772807167,False
23,0,773039583,False
23,0,773790208,False
23,0,777052875,False
23,0,776787792,False
23,0,788539125,False
23,0,799485833,False
23,0,965000000,False
23,0,916115333,False
23,0,889766667,False
23,0,770061875,False
23,0,773323333,False
23,0,800098875,False
23,0,834098167,False
23,0,832660750,False
23,0,771880667,False
23,0,772790750,False
23,0,807830917,False
23,0,773439375,False
23,0,775744583,False
23,0,776128292,False
23,0,773217375,False
23,0,797131208,False
23,0,795082292,False
23,0,808317584,False
23,0,803027584,False
23,0,816381292,False
23,0,781576208,False
23,0,774648833,False
23,0,771914083,False
23,0,797069333,False
23,0,798560333,False
23,0,1029964625,False
23,0,790445500,False
23,0,788271208,False
23,0,827076250,False
23,0,773775083,False
23,0,840066542,False
23,0,775419958,False
23,0,770469542,False
23,0,774924083,False
23,0,768650500,False
23,0,770598208,False
23,0,768759875,False
23,0,769303291,False
23,0,769060250,False
23,0,768676917,False
23,0,769617375,False
23,0,784914166,False
23,0,768850000,False
23,0,772019417,False
23,0,819644791,False
23,0,780954291,False
23,0,792500333,False
23,0,795398875,False
23,0,764218708,False
23,0,797339584,False
23,0,764408083,False
23,0,761783667,False
23,0,789797750,False
23,0,818778625,False
23,0,852495000,False
23,0,810698625,False
23,0,770409334,False
23,0,836578583,False
23,0,783971209,False
23,0,846201125,False
23,0,792483291,False
23,0,806931417,False
23,0,780055375,False
23,0,768295875,False
23,0,768651166,False
23,0,801546709,False
23,0,804665125,False
23,0,762069209,False
23,0,803259500,False
23,0,760773959,False
23,0,763744375,False
23,0,761315333,False
23,0,758501416,False
23,0,758449458,False
23,0,767514708,False
23,0,761195250,False
23,0,778531958,False
23,0,815873958,False
23,0,765649583,False
23,0,767823292,False
23,0,758400625,False
23,0,761998125,False
23,0,761145125,False
23,0,762464667,False
23,0,759135958,False
23,0,760110375,False
23,0,762197459,False
23,0,760345667,False
23,0,767664500,False
23,0,763187667,False
23,0,859454375,False
23,0,831438709,False
23,0,767986583,False
23,0,802141208,False
23,0,775973917,False
23,0,764292959,False
23,0,764406459,False
23,0,762443333,False
23,0,797313917,False
23,0,762042041,False
23,0,767494959,False
23,0,763560375,False
23,0,767346958,False
