nurses_no,hits,time,cache_enabled
1,0,1121874833,False
1,0,729224417,False
1,0,734509500,False
1,0,728945584,False
1,0,710652584,False
1,0,732031250,False
1,0,708215125,False
1,0,702709333,False
1,0,723509750,False
1,0,713151791,False
1,0,700504000,False
1,0,702440917,False
1,0,706976042,False
1,0,697346333,False
1,0,696851084,False
1,0,704379834,False
1,0,696737958,False
1,0,706840917,False
1,0,700790375,False
1,0,700694208,False
1,0,747544833,False
1,0,705777000,False
1,0,717086959,False
1,0,719925541,False
1,0,722670459,False
1,0,700579250,False
1,0,700777625,False
1,0,698399625,False
1,0,713474542,False
1,0,697443834,False
1,0,701199375,False
1,0,696715584,False
1,0,697319500,False
1,0,697182375,False
1,0,698904292,False
1,0,696130458,False
1,0,715228375,False
1,0,730569375,False
1,0,726508750,False
1,0,701585708,False
1,0,695767916,False
1,0,696300583,False
1,0,718856542,False
1,0,697621500,False
1,0,696730375,False
1,0,695613791,False
1,0,694955917,False
1,0,696976875,False
1,0,705808291,False
1,0,719150125,False
1,0,706889875,False
1,0,731863000,False
1,0,772550542,False
1,0,732000833,False
1,0,723880959,False
1,0,709495708,False
1,0,745672417,False
1,0,783995250,False
1,0,699979958,False
1,0,703283541,False
1,0,1659192084,False
1,0,2045926542,False
1,0,693422792,False
1,0,733807709,False
1,0,890857167,False
1,0,707348709,False
1,0,711328917,False
1,0,844432000,False
1,0,698141792,False
1,0,2088273750,False
1,0,702325792,False
1,0,691290709,False
1,0,693243875,False
1,0,704749792,False
1,0,4124331125,False
1,0,1267854375,False
1,0,697249167,False
1,0,1076791625,False
1,0,977266208,False
1,0,692347500,False
1,0,691138000,False
1,0,723764167,False
1,0,1289179042,False
1,0,1197862875,False
1,0,788851250,False
1,0,4840115334,False
1,0,1161330542,False
1,0,861825917,False
1,0,709195292,False
1,0,705514917,False
1,0,696495209,False
1,0,698218459,False
1,0,2476809209,False
1,0,1409138375,False
1,0,1382653667,False
1,0,705212250,False
1,0,2862368584,False
1,0,3141726000,False
1,0,1959048916,False
1,0,1622689542,False
1,0,1162482167,False
1,0,1206535041,False
1,0,751851083,False
1,0,752903375,False
1,0,759696375,False
1,0,729319125,False
1,0,711937792,False
1,0,700749250,False
1,0,721248500,False
1,0,712154333,False
1,0,698129667,False
1,0,703050833,False
1,0,697579500,False
1,0,696447125,False
1,0,732505209,False
1,0,703757583,False
1,0,696565125,False
1,0,706327625,False
1,0,693829583,False
1,0,714435083,False
1,0,708902375,False
1,0,699350208,False
1,0,703810375,False
1,0,695289167,False
1,0,731019708,False
1,0,731947958,False
1,0,724437333,False
1,0,738914167,False
1,0,714078458,False
1,0,703295458,False
1,0,714572666,False
1,0,722004708,False
1,0,704910250,False
1,0,715534792,False
1,0,793014292,False
1,0,713836333,False
1,0,733001792,False
1,0,752272125,False
