nurses_no,hits,time,cache_enabled
9,0,1080247541,False
9,0,755862750,False
9,0,732316042,False
9,0,725713292,False
9,0,718864292,False
9,0,718436833,False
9,0,712443000,False
9,0,755712500,False
9,0,735839375,False
9,0,735572709,False
9,0,733361000,False
9,0,733794000,False
9,0,731086458,False
9,0,733029208,False
9,0,734713875,False
9,0,736746167,False
9,0,737309625,False
9,0,732562834,False
9,0,736373542,False
9,0,730402250,False
9,0,814443250,False
9,0,740581209,False
9,0,751670125,False
9,0,724833417,False
9,0,721238042,False
9,0,739936042,False
9,0,752064542,False
9,0,749963834,False
9,0,748408125,False
9,0,726564375,False
9,0,721064416,False
9,0,729699333,False
9,0,750217166,False
9,0,720231708,False
9,0,712488167,False
9,0,712558875,False
9,0,715415666,False
9,0,712401334,False
9,0,716811625,False
9,0,712408375,False
9,0,717964833,False
9,0,719203459,False
9,0,720395250,False
9,0,713714458,False
9,0,717969334,False
9,0,762093667,False
9,0,711662583,False
9,0,712210750,False
9,0,713747417,False
9,0,738905375,False
9,0,721187333,False
9,0,712422666,False
9,0,719413416,False
9,0,710675583,False
9,0,715112125,False
9,0,714425500,False
9,0,723907791,False
9,0,727617375,False
9,0,738721708,False
9,0,713303625,False
9,0,756163042,False
9,0,737420833,False
9,0,730432667,False
9,0,779410042,False
9,0,767382875,False
9,0,713312584,False
9,0,730020458,False
9,0,720259875,False
9,0,719638709,False
9,0,723567958,False
9,0,857060208,False
9,0,945946458,False
9,0,848963959,False
9,0,793746958,False
9,0,725826875,False
9,0,717486792,False
9,0,800285583,False
9,0,737451417,False
9,0,758165041,False
9,0,712181083,False
9,0,720609000,False
9,0,727925459,False
9,0,730577917,False
9,0,773133125,False
9,0,739673667,False
9,0,715034875,False
9,0,711238375,False
9,0,710064083,False
9,0,706690833,False
9,0,714578709,False
9,0,706800208,False
9,0,707188125,False
9,0,707547583,False
9,0,705692041,False
9,0,715456375,False
9,0,707967584,False
9,0,741158833,False
9,0,700391791,False
9,0,701805000,False
9,0,705724791,False
9,0,709104917,False
9,0,704323542,False
9,0,710543958,False
9,0,711973167,False
9,0,705995375,False
9,0,712972709,False
9,0,717048583,False
9,0,708378042,False
9,0,704017250,False
9,0,753879333,False
9,0,719430125,False
9,0,705701000,False
9,0,706878583,False
9,0,714520167,False
9,0,708162209,False
9,0,714326792,False
9,0,706758375,False
9,0,730279458,False
9,0,708999542,False
9,0,711410167,False
9,0,709709833,False
9,0,737046292,False
9,0,705317125,False
9,0,710458750,False
9,0,707543708,False
9,0,705066583,False
9,0,716737334,False
9,0,707401083,False
9,0,709345250,False
9,0,701934500,False
9,0,710404541,False
9,0,705402959,False
9,0,717252666,False
9,0,705892000,False
9,0,712502458,False
9,0,708100292,False
9,0,769225875,False
9,0,772680375,False
9,0,745313584,False
9,0,735076292,False
9,0,717977625,False
9,0,720769875,False
9,0,749567084,False
9,0,778402625,False
9,0,712680875,False
9,0,715977292,False
9,0,719520166,False
9,0,712608500,False
9,0,709959875,False
9,0,707690042,False
9,0,742168500,False
9,0,728182333,False
9,0,757083709,False
9,0,732299417,False
9,0,704889791,False
9,0,705685000,False
9,0,709151334,False
9,0,713123333,False
9,0,715612334,False
9,0,759500625,False
9,0,756845375,False
9,0,724431750,False
9,0,752929958,False
9,0,734458209,False
9,0,732612417,False
9,0,721572750,False
9,0,715457292,False
9,0,730313042,False
9,0,715130084,False
9,0,710489166,False
9,0,723486000,False
9,0,720097375,False
9,0,756223125,False
9,0,730677000,False
9,0,722401042,False
9,0,720675416,False
9,0,726895458,False
9,0,738029417,False
9,0,730931958,False
9,0,716270833,False
9,0,758180166,False
9,0,733074542,False
9,0,720929958,False
9,0,1358240334,False
9,0,1266731834,False
9,0,829307458,False
9,0,723362042,False
9,0,719189084,False
9,0,718652667,False
9,0,713442541,False
9,0,711168250,False
9,0,757479209,False
9,0,798515750,False
9,0,706009209,False
9,0,717376250,False
9,0,732898709,False
9,0,740933875,False
9,0,727458458,False
9,0,1760510417,False
9,0,1109114125,False
9,0,794203250,False
9,0,742143416,False
9,0,716973917,False
9,0,710378542,False
9,0,709805583,False
9,0,717632125,False
9,0,722683167,False
9,0,732001959,False
9,0,765391833,False
9,0,727849375,False
9,0,1067342459,False
9,0,879906375,False
9,0,761614542,False
9,0,729150792,False
9,0,733086417,False
9,0,743419167,False
9,0,709845042,False
9,0,711931583,False
9,0,713909625,False
9,0,710350458,False
9,0,709841250,False
9,0,713499667,False
9,0,775518417,False
9,0,730524375,False
9,0,722606958,False
9,0,714210667,False
9,0,713525083,False
9,0,711798417,False
9,0,708422375,False
9,0,709233542,False
9,0,712407250,False
