nurses_no,hits,time,cache_enabled
6,0,969916000,False
6,0,695443292,False
6,0,694270917,False
6,0,699290250,False
6,0,699330291,False
6,0,676695917,False
6,0,656338709,False
6,0,665622166,False
6,0,663418250,False
6,0,664193250,False
6,0,677044041,False
6,0,664760042,False
6,0,660345125,False
6,0,658934625,False
6,0,661921042,False
6,0,659486250,False
6,0,731501625,False
6,0,666073000,False
6,0,659886209,False
6,0,712491334,False
6,0,690972000,False
6,0,679594958,False
6,0,698644583,False
6,0,695004417,False
6,0,677799709,False
6,0,680553458,False
6,0,671264167,False
6,0,681286708,False
6,0,679809167,False
6,0,677024916,False
6,0,681217625,False
6,0,688499708,False
6,0,727870500,False
6,0,708703125,False
6,0,683393417,False
6,0,668477041,False
6,0,684220083,False
6,0,679910750,False
6,0,687023833,False
6,0,697307917,False
6,0,663142167,False
6,0,677409000,False
6,0,702461709,False
6,0,692217875,False
6,0,669850000,False
6,0,687477208,False
6,0,662191834,False
6,0,677947250,False
6,0,672360167,False
6,0,719175791,False
6,0,664166291,False
6,0,672600584,False
6,0,661004708,False
6,0,655199042,False
6,0,700589584,False
6,0,660665292,False
6,0,665727542,False
6,0,666446875,False
6,0,654972459,False
6,0,654131000,False
6,0,659460375,False
6,0,656766042,False
6,0,653680417,False
6,0,656387417,False
6,0,652466541,False
6,0,661813250,False
6,0,659267083,False
6,0,674335791,False
6,0,694720708,False
6,0,663378167,False
6,0,657991792,False
6,0,708981333,False
6,0,664468833,False
6,0,673919625,False
6,0,671208000,False
6,0,667356584,False
6,0,658434625,False
6,0,690597041,False
6,0,694430750,False
6,0,678703292,False
6,0,719593709,False
6,0,692135291,False
6,0,667589791,False
6,0,663929292,False
6,0,663406708,False
6,0,661986084,False
6,0,661172542,False
6,0,661306917,False
6,0,691966916,False
6,0,661673250,False
6,0,668462709,False
6,0,695012375,False
6,0,699382292,False
6,0,675284000,False
6,0,681693375,False
6,0,670413375,False
6,0,663241708,False
6,0,666430000,False
6,0,663882375,False
6,0,674632084,False
6,0,702620500,False
6,0,673633542,False
6,0,670800500,False
6,0,668559083,False
6,0,671393541,False
6,0,678595084,False
6,0,668388542,False
6,0,669496833,False
6,0,681948041,False
6,0,660926917,False
6,0,672351333,False
6,0,681195708,False
6,0,679675333,False
6,0,679113833,False
6,0,685227750,False
6,0,674522292,False
6,0,684533416,False
6,0,728082667,False
6,0,674473208,False
6,0,678413625,False
6,0,682609042,False
6,0,657374750,False
6,0,665020292,False
6,0,671882584,False
6,0,678170542,False
6,0,678986667,False
6,0,674024292,False
6,0,672776959,False
6,0,674584750,False
6,0,673928666,False
6,0,677911667,False
6,0,674429375,False
6,0,719740125,False
6,0,671740000,False
6,0,686595500,False
6,0,678125958,False
6,0,665792542,False
6,0,698426958,False
6,0,709246584,False
6,0,667953708,False
6,0,678704416,False
6,0,715060125,False
6,0,686932375,False
6,0,766711000,False
6,0,703065792,False
6,0,688409416,False
6,0,815522875,False
6,0,2208053500,False
6,0,672170375,False
6,0,662957916,False
6,0,682996167,False
6,0,671943292,False
6,0,672001417,False
6,0,672077500,False
6,0,718047833,False
6,0,671837750,False
6,0,665003959,False
6,0,656994125,False
6,0,660862834,False
