Instance	Iteration0	Iteration1	Iteration2	Iteration3	Iteration4	Iteration5	Iteration6	Iteration7	Iteration8	Iteration9	Iteration10	Iteration11	Iteration12	Iteration13	Iteration14	Iteration15	Iteration16	Iteration17	Iteration18	Iteration19	Iteration20	Iteration21	Iteration22	Iteration23	Iteration24	Iteration25	Iteration26	Iteration27	Iteration28	Iteration29	Iteration30	Iteration31	Iteration32	Iteration33	Iteration34	Iteration35	Iteration36	Iteration37	Iteration38	Iteration39	Iteration40	Iteration41	Iteration42	Iteration43	Iteration44	Iteration45	Iteration46	Iteration47	Iteration48	Iteration49	Iteration50	
0	5.631	5.673666666666667	5.677333333333333	5.581	5.425	5.2860000000000005	5.214333333333333	5.189333333333334	5.169333333333333	5.151666666666667	5.086	5.045	4.955333333333333	4.932333333333333	4.950666666666667	4.971666666666667	4.888000000000001	4.882666666666666	4.8709999999999996	4.864000000000001	4.856666666666667	4.856333333333334	4.854666666666668	4.8533333333333335	4.847333333333334	4.843333333333334	4.839666666666667	4.833666666666667	4.831666666666667	4.828333333333333	4.826	4.7396666666666665	4.6963333333333335	4.6803333333333335	4.647333333333334	4.625	4.624333333333333	4.624333333333333	4.562333333333333	4.562	4.542333333333334	4.54	4.535666666666667	4.534000000000001	4.529666666666667	4.510666666666666	4.491666666666666	4.47	4.4656666666666665	4.465333333333334	4.465333333333334	4.472260511255754
1	5.638000000000001	5.61	5.609	5.624333333333333	5.645333333333334	5.477333333333333	5.316	5.207666666666666	5.178	5.178666666666667	5.166333333333333	5.143666666666666	5.149	5.061000000000001	4.995333333333334	4.914000000000001	4.862	4.848	4.835333333333334	4.863333333333333	4.838666666666667	4.8373333333333335	4.83	4.808666666666666	4.807666666666666	4.807666666666666	4.803666666666667	4.796	4.792666666666666	4.790000000000001	4.787000000000001	4.749666666666667	4.706	4.67	4.656666666666667	4.656000000000001	4.6209999999999996	4.6016666666666675	4.601	4.566	4.532333333333333	4.531666666666666	4.520333333333334	4.52	4.52	4.5183333333333335	4.516666666666667	4.516	4.516	4.516	4.515	4.5237531723455495
2	5.7123333333333335	5.769666666666667	5.798	5.754333333333333	5.724	5.718666666666667	5.750333333333333	5.828	5.751333333333333	5.674	5.637666666666666	5.47	5.326666666666667	5.2123333333333335	5.170333333333334	5.121666666666667	5.080333333333333	5.055666666666667	5.026333333333333	5.005666666666667	4.995333333333334	4.908333333333333	4.8790000000000004	4.878	4.826333333333333	4.907	4.899	4.902333333333333	4.860333333333333	4.828	4.816333333333334	4.746333333333334	4.718999999999999	4.699333333333333	4.680666666666667	4.636	4.58	4.554333333333333	4.531333333333333	4.531333333333333	4.531333333333333	4.530333333333333	4.495	4.495	4.495	4.492333333333334	4.484666666666667	4.4830000000000005	4.477666666666667	4.475333333333333	4.473666666666667	4.4934384194737
3	5.667666666666666	5.626333333333333	5.616333333333333	5.582	5.601	5.593333333333334	5.543333333333334	5.552666666666667	5.574333333333333	5.576333333333333	5.518	5.351	5.2843333333333335	5.279	5.299	5.227	5.225	5.233333333333333	5.195666666666667	5.102666666666667	5.035	4.94	4.8709999999999996	4.816999999999999	4.808000000000001	4.8066666666666675	4.803666666666667	4.798333333333334	4.7860000000000005	4.778666666666667	4.772333333333334	4.711333333333333	4.685666666666666	4.634333333333333	4.559	4.5520000000000005	4.544666666666667	4.537000000000001	4.537000000000001	4.537000000000001	4.5183333333333335	4.516	4.450333333333333	4.450333333333333	4.438000000000001	4.414000000000001	4.414000000000001	4.397	4.397	4.396	4.396	4.393206352641464
4	5.713333333333334	5.665333333333334	5.660666666666667	5.653333333333333	5.607	5.6	5.4270000000000005	5.272333333333334	5.237333333333334	5.277666666666667	5.2203333333333335	5.242	5.258	5.221666666666667	5.223	5.207333333333334	5.187333333333333	5.075	5.004666666666667	4.958333333333333	4.953666666666667	4.9	4.873333333333334	4.873666666666667	4.851	4.840999999999999	4.828666666666667	4.852333333333333	4.843	4.837000000000001	4.828666666666667	4.7669999999999995	4.717	4.6386666666666665	4.629666666666667	4.611666666666666	4.587000000000001	4.552333333333333	4.550666666666667	4.529666666666667	4.529666666666667	4.527666666666667	4.5	4.477666666666667	4.477666666666667	4.477666666666667	4.456	4.456	4.455	4.442333333333334	4.442333333333334	4.462479209977123
5	5.774333333333333	5.767666666666667	5.659000000000001	5.646	5.6146666666666665	5.6113333333333335	5.652666666666667	5.669	5.568333333333333	5.441	5.301	5.280666666666667	5.212000000000001	5.128	5.127	5.134666666666666	5.095	5.078	5.050666666666667	4.9366666666666665	4.982333333333333	4.932333333333333	4.932333333333333	4.8	4.801333333333333	4.854666666666668	4.7603333333333335	4.748333333333334	4.743666666666667	4.769	4.767666666666667	4.718666666666667	4.642666666666667	4.639333333333334	4.607	4.572	4.5696666666666665	4.547666666666667	4.526666666666667	4.525333333333333	4.505333333333334	4.505	4.501333333333333	4.501333333333333	4.501333333333333	4.5	4.5	4.498666666666667	4.498666666666667	4.497	4.484666666666667	4.4772709477733805
6	5.773666666666667	5.799333333333333	5.7156666666666665	5.700333333333333	5.721	5.691666666666666	5.671666666666667	5.564333333333334	5.447333333333334	5.300333333333333	5.2956666666666665	5.248	5.224333333333333	5.139666666666667	5.136666666666667	5.136666666666667	5.070666666666667	4.981	4.937333333333333	4.944999999999999	4.965000000000001	4.944	4.838666666666667	4.819333333333334	4.807666666666666	4.7956666666666665	4.793	4.790000000000001	4.785666666666667	4.784000000000001	4.780666666666667	4.710666666666667	4.698333333333334	4.696666666666667	4.6610000000000005	4.629333333333333	4.627666666666667	4.615	4.567666666666667	4.560333333333333	4.553	4.532333333333333	4.529333333333333	4.528333333333333	4.515	4.513333333333334	4.499333333333333	4.498	4.498	4.498	4.498	4.531761842011145
7	5.660666666666667	5.652333333333333	5.629333333333333	5.622333333333334	5.599666666666667	5.4766666666666675	5.337000000000001	5.203	5.132666666666666	5.103666666666667	5.105	5.009666666666666	4.881	4.876333333333333	4.875333333333333	4.898	4.877666666666667	4.873	4.764	4.760666666666666	4.755666666666667	4.744	4.739000000000001	4.735666666666666	4.729666666666668	4.755333333333334	4.726	4.862666666666667	4.849666666666667	4.866333333333333	4.8340000000000005	4.770333333333334	4.710666666666667	4.694	4.655666666666667	4.639	4.610666666666666	4.576333333333333	4.5600000000000005	4.558333333333334	4.554	4.537333333333334	4.537333333333334	4.5103333333333335	4.484333333333334	4.480333333333333	4.480333333333333	4.468	4.459666666666666	4.431	4.431	4.436754097988068
8	5.609333333333334	5.607	5.627666666666667	5.558000000000001	5.357333333333333	5.264333333333334	5.160333333333333	5.088333333333334	5.104666666666668	5.1193333333333335	5.140000000000001	5.13	5.130333333333334	5.048333333333334	5.030333333333333	5.035666666666667	5.008666666666667	4.8790000000000004	4.852333333333333	4.856	4.849	4.843666666666667	4.83	4.824	4.821	4.874	4.864000000000001	4.837666666666666	4.836666666666667	4.8229999999999995	4.815333333333333	4.753666666666667	4.703	4.686000000000001	4.663	4.655666666666667	4.654	4.592333333333333	4.586333333333333	4.582333333333334	4.566	4.53	4.518	4.516	4.516	4.516	4.501666666666667	4.488	4.464666666666667	4.464666666666667	4.464666666666667	4.473049208390625
9	5.729666666666668	5.732333333333333	5.7956666666666665	5.803666666666667	5.772333333333334	5.637333333333333	5.583	5.582666666666666	5.557333333333333	5.564333333333334	5.410333333333333	5.306	5.160666666666667	5.153666666666667	5.141666666666667	5.132000000000001	5.154	5.109	5.062	5.035666666666667	5.020666666666667	4.97	4.938666666666666	4.8870000000000005	4.880333333333334	4.876666666666667	4.8966666666666665	4.887333333333333	4.848333333333334	4.846	4.8453333333333335	4.819999999999999	4.762666666666666	4.7283333333333335	4.697	4.691333333333334	4.657	4.626666666666667	4.618666666666667	4.599666666666667	4.598	4.594666666666667	4.589	4.574666666666667	4.573333333333334	4.5633333333333335	4.5633333333333335	4.544666666666667	4.543	4.542333333333334	4.542333333333334	4.546363129305804
