Iteration	 Fatigue
0	4.2700000000000005
0	4.88
0	4.88
0	5.9
0	5.97
0	5.9
0	5.97
0	5.9
0	4.88
0	4.92
0	5.97
0	5.9
0	5.97
0	4.93
0	5.97
0	5.3500000000000005
0	4.08
0	5.3500000000000005
0	6.66
0	6.05
0	6.66
0	5.69
0	5.44
0	5.0600000000000005
0	4.18
0	3.99
1	4.2700000000000005
1	4.92
1	5.97
1	5.9
1	5.97
1	5.9
1	5.97
1	5.9
1	4.88
1	5.97
1	5.97
1	5.9
1	5.97
1	4.93
1	5.97
1	5.3500000000000005
1	4.08
1	5.3500000000000005
1	5.99
1	6.05
1	5.99
1	5.99
1	5.44
1	5.0600000000000005
1	4.9
1	3.99
2	4.2700000000000005
2	4.92
2	5.97
2	5.9
2	5.97
2	5.9
2	5.97
2	5.9
2	4.88
2	5.97
2	5.97
2	5.9
2	5.97
2	4.93
2	5.97
2	5.3500000000000005
2	4.08
2	5.3500000000000005
2	5.99
2	5.99
2	5.99
2	5.99
2	5.44
2	5.0600000000000005
2	4.9
2	3.99
3	4.2700000000000005
3	4.92
3	5.97
3	5.9
3	5.97
3	5.97
3	5.97
3	4.88
3	4.88
3	5.97
3	5.97
3	5.9
3	5.97
3	4.93
3	5.97
3	5.3500000000000005
3	4.08
3	5.3500000000000005
3	5.8100000000000005
3	5.95
3	5.95
3	5.95
3	5.44
3	5.0600000000000005
3	5.03
3	3.99
4	4.2700000000000005
4	5.9
4	5.9
4	5.9
4	5.97
4	5.97
4	5.9
4	4.88
4	5.9
4	5.97
4	5.9
4	5.9
4	5.9
4	4.93
4	5.9
4	5.3500000000000005
4	4.08
4	5.3500000000000005
4	5.8100000000000005
4	5.95
4	5.95
4	5.95
4	5.44
4	5.0600000000000005
4	5.03
4	3.99
5	5.9
5	5.9
5	4.41
5	5.9
5	5.0
5	5.9
5	5.9
5	5.9
5	5.9
5	5.9
5	5.9
5	5.9
5	5.9
5	4.93
5	5.9
5	5.3500000000000005
5	5.64
5	5.3500000000000005
5	5.8100000000000005
5	5.95
5	5.95
5	5.95
5	5.44
5	5.0600000000000005
5	5.03
5	3.99
6	5.9
6	5.9
6	4.41
6	5.9
6	5.0
6	4.93
6	5.9
6	5.9
6	5.9
6	5.9
6	5.9
6	5.9
6	5.9
6	4.93
6	5.9
6	5.3500000000000005
6	5.64
6	5.3500000000000005
6	5.69
6	5.8100000000000005
6	5.8100000000000005
6	5.69
6	5.44
6	5.0600000000000005
6	5.03
6	3.99
7	5.9
7	5.9
7	5.58
7	5.9
7	5.0
7	4.93
7	4.92
7	5.9
7	5.0
7	5.0
7	4.93
7	5.9
7	4.93
7	4.93
7	5.9
7	5.3500000000000005
7	5.64
7	5.3500000000000005
7	5.69
7	5.8100000000000005
7	5.8100000000000005
7	5.69
7	5.61
7	5.0600000000000005
7	5.03
7	3.99
8	5.59
8	4.93
8	5.58
8	4.93
8	5.0
8	4.93
8	4.92
8	5.9
8	5.0
8	5.0
8	4.93
8	4.93
8	4.93
8	4.93
8	4.88
8	5.3500000000000005
8	5.64
8	5.64
8	5.69
8	5.8100000000000005
8	5.8100000000000005
8	5.69
8	5.61
8	5.0600000000000005
8	5.03
8	3.99
9	5.59
9	4.93
9	5.58
9	4.93
9	5.0
9	4.93
9	4.92
9	4.92
9	5.0
9	5.0
9	4.93
9	4.93
9	4.93
