nurses_no,hits,time,cache_enabled
10,0,1050679958,True
10,1,4291,True
10,1,4791,True
10,0,737489125,True
10,1,2542,True
10,1,1041,True
10,1,2208,True
10,1,1666,True
10,1,3541,True
10,1,4292,True
10,1,1209,True
10,1,1666,True
10,1,1083,True
10,1,958,True
10,1,1166,True
10,1,1834,True
10,1,2375,True
10,1,3042,True
10,0,739718041,True
10,1,2250,True
10,1,1750,True
10,1,1166,True
10,1,1791,True
10,1,2541,True
10,1,1208,True
10,1,917,True
10,1,4916,True
10,1,1041,True
10,1,1083,True
10,1,1250,True
10,1,1916,True
10,1,1000,True
10,1,1708,True
10,1,2958,True
10,1,1917,True
10,1,959,True
10,1,792,True
10,1,2459,True
10,1,1167,True
10,1,1125,True
10,1,875,True
10,1,791,True
10,1,1916,True
10,1,1125,True
10,1,2417,True
10,1,1167,True
10,1,875,True
10,1,709,True
10,1,1000,True
10,1,1833,True
10,1,1708,True
10,1,1084,True
10,1,792,True
10,1,875,True
10,1,1750,True
10,1,1167,True
10,1,750,True
10,1,667,True
10,1,1209,True
10,1,1333,True
10,1,1042,True
10,1,959,True
10,1,1041,True
10,1,1125,True
10,1,875,True
10,1,1167,True
10,1,1000,True
10,1,833,True
10,1,1083,True
10,1,709,True
10,1,708,True
10,1,666,True
10,1,750,True
10,1,834,True
10,1,958,True
10,1,750,True
10,1,709,True
10,1,708,True
10,1,958,True
10,1,791,True
10,1,792,True
10,1,708,True
10,1,1000,True
10,1,958,True
10,1,1042,True
10,1,750,True
10,1,833,True
10,1,791,True
10,1,708,True
10,1,667,True
10,1,3000,True
10,1,1250,True
10,1,959,True
10,1,1875,True
10,1,1000,True
10,1,1000,True
10,1,1125,True
10,1,833,True
10,1,834,True
10,1,791,True
10,1,708,True
10,0,729946875,True
10,0,738604250,True
10,1,3500,True
10,1,16541,True
10,1,1708,True
10,0,752500917,True
10,1,2708,True
10,1,2708,True
10,1,2584,True
10,1,1542,True
10,1,1084,True
10,1,1125,True
10,1,1000,True
10,1,833,True
10,1,792,True
10,1,1500,True
10,1,1250,True
10,1,1042,True
10,1,2500,True
10,1,1208,True
10,1,1708,True
10,1,1125,True
10,1,2125,True
10,1,1208,True
10,1,3250,True
10,1,1792,True
10,1,1667,True
10,1,3417,True
10,1,3417,True
10,1,1333,True
10,1,1250,True
10,1,917,True
10,1,1666,True
10,1,2250,True
10,1,1041,True
10,1,1333,True
10,1,1167,True
10,1,875,True
10,1,2959,True
10,1,2709,True
10,0,715306625,True
10,1,2834,True
10,1,1083,True
10,0,721337583,True
10,0,735163041,True
10,1,2708,True
10,0,718978291,True
10,1,2583,True
10,1,1333,True
10,1,1375,True
10,1,834,True
10,1,1750,True
10,1,2500,True
10,1,1375,True
10,1,1792,True
10,1,3541,True
10,1,1250,True
10,1,1000,True
10,1,833,True
10,1,2667,True
10,1,2708,True
10,1,1125,True
10,1,917,True
10,1,5291,True
10,1,1792,True
10,1,2708,True
10,1,2625,True
10,1,2750,True
10,1,2333,True
10,1,1416,True
10,1,1417,True
10,1,1292,True
10,1,959,True
10,1,1959,True
10,1,1334,True
10,1,1125,True
10,1,2000,True
10,1,2000,True
10,1,1167,True
10,1,958,True
10,1,792,True
10,1,1208,True
10,1,2250,True
10,1,1083,True
10,1,1333,True
10,1,2916,True
10,1,1000,True
10,1,1916,True
10,1,1709,True
10,1,1083,True
10,1,2250,True
10,1,1250,True
10,1,1458,True
10,1,2416,True
10,1,1666,True
10,1,1167,True
10,1,1041,True
10,1,1125,True
10,1,1750,True
10,1,1583,True
10,1,2584,True
10,1,959,True
10,1,1417,True
10,1,1125,True
10,1,958,True
10,1,3083,True
10,1,958,True
10,0,731311542,True
10,0,829753625,True
10,0,771656709,True
10,1,2292,True
10,0,722205791,True
10,1,3917,True
