nurses_no,hits,time,cache_enabled
15,0,1081862542,True
15,1,4458,True
15,1,4709,True
15,1,3125,True
15,0,749258583,True
15,1,3416,True
15,1,1333,True
15,1,1709,True
15,1,1042,True
15,1,2542,True
15,1,1666,True
15,1,1375,True
15,1,1167,True
15,1,1125,True
15,1,1291,True
15,1,1875,True
15,1,3750,True
15,1,2833,True
15,1,1583,True
15,1,2791,True
15,1,1750,True
15,1,1791,True
15,1,1333,True
15,1,1042,True
15,1,1000,True
15,1,1291,True
15,1,1000,True
15,1,1000,True
15,1,1125,True
15,1,1000,True
15,1,875,True
15,1,792,True
15,0,739106500,True
15,0,787818875,True
15,1,3667,True
15,1,2708,True
15,1,4000,True
15,1,2666,True
15,1,2500,True
15,1,3167,True
15,1,1291,True
15,1,3167,True
15,1,2625,True
15,1,1291,True
15,1,1875,True
15,1,1208,True
15,1,875,True
15,1,1417,True
15,1,2167,True
15,1,1792,True
15,1,1917,True
15,1,2750,True
15,1,1333,True
15,1,2625,True
15,1,1625,True
15,1,1000,True
15,1,2625,True
15,1,2083,True
15,1,1958,True
15,1,1208,True
15,1,2500,True
15,1,1958,True
15,1,1292,True
15,1,958,True
15,1,2500,True
15,1,1167,True
15,1,1041,True
15,1,2834,True
15,1,1167,True
15,1,1375,True
15,1,2792,True
15,1,1375,True
15,1,2292,True
15,1,2084,True
15,1,2542,True
15,1,4583,True
15,1,2750,True
15,1,2875,True
15,1,1292,True
15,1,2083,True
15,1,1666,True
15,1,1000,True
15,1,917,True
15,1,875,True
15,1,2667,True
15,1,2459,True
15,1,1000,True
15,1,2792,True
15,1,1083,True
15,1,916,True
15,1,1042,True
15,1,2792,True
15,0,789224000,True
15,0,729950958,True
15,0,742971750,True
15,1,2708,True
15,0,730284042,True
15,1,3167,True
15,1,3708,True
15,0,785096084,True
15,1,2167,True
15,1,2833,True
15,1,1833,True
15,1,2583,True
15,1,2416,True
15,1,2958,True
15,1,1209,True
15,1,3125,True
15,1,3083,True
15,1,2916,True
15,1,2583,True
15,1,1250,True
15,1,1125,True
15,1,2875,True
15,1,1000,True
15,1,2584,True
15,1,1750,True
15,1,1083,True
15,0,735144916,True
15,0,732548000,True
15,1,3500,True
15,1,1125,True
15,1,4125,True
15,1,3041,True
15,1,6167,True
15,1,3875,True
15,1,2500,True
15,1,1083,True
15,1,917,True
15,1,2875,True
15,1,3750,True
15,1,1916,True
15,1,3166,True
15,1,3916,True
15,1,2209,True
15,1,3292,True
15,1,1125,True
15,1,875,True
15,1,2750,True
15,1,1209,True
15,0,727967042,True
15,1,2542,True
15,0,726955791,True
15,1,1958,True
15,0,730885875,True
15,1,3542,True
15,1,1167,True
15,1,875,True
15,1,1750,True
15,1,959,True
15,1,1167,True
15,1,1000,True
15,1,1792,True
15,1,1167,True
15,1,917,True
15,1,917,True
15,1,1166,True
15,1,3083,True
15,1,1292,True
15,1,2625,True
15,1,1084,True
15,1,1125,True
15,1,917,True
15,1,833,True
15,1,1083,True
15,1,1417,True
15,1,1375,True
15,1,2834,True
15,1,1167,True
15,1,916,True
15,1,1833,True
15,1,1750,True
15,1,1209,True
15,1,875,True
15,1,1000,True
15,1,1084,True
15,1,917,True
15,1,792,True
15,1,1208,True
15,1,833,True
15,1,875,True
15,0,723541625,True
15,1,2208,True
15,1,1875,True
15,0,734048584,True
15,1,2125,True
15,1,1084,True
15,0,731709292,True
15,1,3958,True
15,1,1083,True
15,1,834,True
15,1,3750,True
15,1,3666,True
15,1,1125,True
15,1,917,True
15,1,708,True
15,1,2042,True
15,1,2208,True
15,1,2625,True
15,1,1083,True
15,1,917,True
15,1,1834,True
15,1,1000,True
15,1,1583,True
15,1,917,True
15,1,917,True
15,1,917,True
15,1,750,True
15,1,1000,True
15,1,958,True
15,1,1083,True
15,1,1000,True
15,1,833,True
15,1,792,True
15,1,792,True
15,1,1000,True
15,1,1125,True
15,1,792,True
15,1,1125,True
15,1,917,True
15,1,1000,True
15,1,958,True
15,1,875,True
15,1,875,True
15,1,1333,True
15,1,2833,True
15,1,1792,True
15,1,2750,True
15,1,1042,True
15,1,1041,True
15,1,1708,True
15,1,1625,True
15,1,1250,True
15,1,917,True
15,1,916,True
15,1,1084,True
15,0,763258792,True
15,1,3625,True
15,1,1208,True
15,0,797619584,True
15,1,3542,True
15,1,1250,True
15,1,1250,True
15,1,1166,True
15,1,875,True
15,1,1083,True
15,1,2208,True
15,1,1042,True
15,1,1125,True
15,1,1042,True
15,1,875,True
15,1,833,True
15,1,791,True
15,1,958,True
15,1,875,True
15,1,875,True
15,1,1167,True
15,1,916,True
15,1,1042,True
15,1,792,True
15,1,750,True
15,1,2292,True
15,1,2458,True
15,1,1917,True
15,1,2875,True
15,1,2958,True
15,1,4459,True
15,1,2000,True
15,1,1208,True
15,1,1583,True
15,1,1083,True
15,1,834,True
15,1,833,True
15,0,733052750,True
15,0,718506667,True
15,1,2750,True
15,1,3917,True
15,1,3458,True
15,1,3458,True
15,1,1958,True
15,1,1167,True
15,1,1250,True
15,1,958,True
15,1,709,True
15,1,3750,True
15,1,1083,True
15,1,3625,True
15,1,1250,True
15,1,1500,True
15,1,3167,True
15,1,1250,True
15,1,1042,True
15,1,3750,True
15,1,1958,True
15,1,1166,True
15,1,834,True
15,1,1291,True
15,1,2334,True
15,1,1209,True
15,1,1000,True
15,1,1375,True
15,1,875,True
15,1,875,True
15,1,833,True
15,1,2209,True
15,1,1000,True
15,1,750,True
15,1,2834,True
15,1,1209,True
15,1,750,True
15,1,1666,True
15,1,1041,True
15,1,958,True
15,1,3208,True
15,1,3375,True
15,1,1250,True
15,1,3250,True
15,1,1083,True
15,1,833,True
15,1,750,True
15,1,2459,True
15,1,1708,True
15,0,720337542,True
15,0,717758333,True
15,0,716374042,True
15,1,2584,True
15,0,725792459,True
15,1,3333,True
15,0,734052958,True
15,1,2667,True
15,1,6792,True
15,1,2833,True
15,1,3375,True
15,1,3167,True
15,1,3417,True
15,1,1667,True
15,1,3000,True
15,1,3625,True
15,1,1917,True
15,1,1209,True
15,1,2417,True
15,1,1792,True
15,1,3083,True
15,1,4333,True
15,1,1208,True
15,1,9000,True
15,1,3708,True
15,1,3084,True
15,1,1208,True
15,1,1333,True
15,1,3750,True
15,1,1333,True
15,1,3125,True
15,1,1458,True
15,1,1750,True
15,1,1208,True
15,1,3333,True
15,1,1916,True
15,1,2666,True
15,1,1333,True
15,1,1792,True
15,1,1042,True
15,1,2875,True
15,1,4000,True
15,1,2959,True
15,1,2292,True
15,1,1542,True
15,1,3500,True
15,1,1667,True
15,1,3166,True
15,1,1000,True
15,1,2875,True
15,1,1750,True
15,1,2208,True
15,1,3083,True
15,1,1125,True
15,1,2000,True
15,1,1583,True
15,1,3625,True
15,1,1167,True
15,1,1750,True
15,1,2791,True
15,1,1292,True
15,1,3291,True
15,1,1250,True
15,1,1084,True
15,1,875,True
15,1,2417,True
15,1,1791,True
15,1,3167,True
15,1,1417,True
15,1,1041,True
15,1,2958,True
15,1,1667,True
15,1,1333,True
15,1,1459,True
15,1,875,True
15,1,3042,True
15,1,2250,True
15,1,1500,True
15,1,1834,True
15,1,2291,True
15,1,917,True
15,1,3041,True
15,1,7083,True
15,1,1209,True
15,0,727849917,True
15,1,3125,True
15,1,1417,True
15,1,2792,True
15,1,2917,True
15,0,765586916,True
15,1,1917,True
15,1,1042,True
15,1,958,True
15,1,2917,True
15,1,1250,True
15,1,959,True
15,1,1959,True
15,1,1166,True
15,1,917,True
15,1,2125,True
15,1,2209,True
15,1,2584,True
15,1,1208,True
15,1,1042,True
15,1,792,True
15,1,1750,True
15,1,1042,True
15,1,3458,True
15,1,1333,True
15,1,1000,True
15,1,875,True
15,1,2250,True
15,1,1000,True
15,1,1834,True
15,1,1250,True
15,1,916,True
15,1,1792,True
15,1,1167,True
15,1,2375,True
15,1,2916,True
15,1,1833,True
15,1,2417,True
15,1,1333,True
15,1,1042,True
15,1,792,True
15,1,833,True
15,1,875,True
15,1,792,True
15,1,750,True
15,1,708,True
15,1,708,True
15,1,708,True
15,1,1291,True
15,1,1083,True
15,1,708,True
15,1,2375,True
15,1,1208,True
15,1,875,True
15,1,875,True
15,1,834,True
15,1,2750,True
15,1,2375,True
15,1,2083,True
15,1,1458,True
15,1,1250,True
15,1,1000,True
15,1,2625,True
15,1,1292,True
15,1,1708,True
15,1,1750,True
15,1,875,True
15,1,875,True
15,1,750,True
15,1,750,True
15,1,875,True
15,1,1042,True
15,1,3125,True
15,1,3125,True
15,1,1833,True
15,1,1209,True
15,1,1000,True
15,1,1916,True
15,1,1834,True
15,1,959,True
15,1,2375,True
15,1,2708,True
15,1,1500,True
15,1,2666,True
15,1,1917,True
15,1,1917,True
15,1,2000,True
15,1,1625,True
15,1,2292,True
15,1,2375,True
15,1,2125,True
15,1,2542,True
15,1,1709,True
15,1,2458,True
15,1,1750,True
15,1,1333,True
15,1,1833,True
15,1,2041,True
15,1,1625,True
15,1,1667,True
15,1,1583,True
15,1,3167,True
15,1,1750,True
15,1,2541,True
15,1,1792,True
15,1,1584,True
15,1,3875,True
15,1,1958,True
15,1,2292,True
15,1,2459,True
15,1,3417,True
15,1,2625,True
15,1,2375,True
15,1,2000,True
15,1,1875,True
15,1,1208,True
15,1,1750,True
15,1,1458,True
15,1,1375,True
15,1,2000,True
15,1,1250,True
15,1,1416,True
15,1,1792,True
15,1,1750,True
15,1,916,True
15,1,959,True
15,1,1500,True
15,1,1042,True
15,1,2083,True
15,1,1917,True
15,1,2708,True
15,1,1750,True
15,1,1417,True
15,1,1375,True
15,1,1084,True
15,1,1333,True
15,1,1000,True
15,1,916,True
15,1,2917,True
15,1,2000,True
15,1,1250,True
15,1,2000,True
15,1,1417,True
15,1,2750,True
15,1,2250,True
15,1,1334,True
15,1,1500,True
15,1,2167,True
15,1,1709,True
15,1,1000,True
15,1,2000,True
15,1,1750,True
15,1,2000,True
15,1,1167,True
15,1,1458,True
15,1,1833,True
15,1,1292,True
15,1,1083,True
15,1,1250,True
15,1,1125,True
15,1,833,True
15,1,833,True
15,1,1042,True
15,1,1542,True
15,1,1583,True
15,1,3000,True
15,1,1083,True
15,1,875,True
15,1,1292,True
15,1,1250,True
15,1,917,True
15,1,1291,True
15,1,792,True
15,1,3417,True
15,1,916,True
15,1,875,True
15,1,917,True
15,1,958,True
15,1,1083,True
15,1,1000,True
15,1,917,True
15,1,917,True
15,1,1000,True
15,1,917,True
15,0,758862208,True
15,1,3042,True
15,1,3125,True
15,1,1833,True
15,0,723433458,True
15,0,765293000,True
15,1,4292,True
15,1,4375,True
15,1,2792,True
15,1,1125,True
15,0,722074083,True
15,0,715172625,True
15,1,2834,True
15,1,2708,True
15,1,1166,True
15,1,1000,True
15,1,750,True
15,1,791,True
15,1,2708,True
15,0,755905250,True
15,1,2792,True
15,1,3959,True
15,1,1334,True
15,1,792,True
15,1,3333,True
15,1,1833,True
15,0,726948833,True
15,1,2791,True
15,1,1375,True
15,1,959,True
15,1,2083,True
15,1,2584,True
15,1,1125,True
15,1,833,True
15,0,718679333,True
15,0,714228833,True
15,1,2000,True
15,1,3792,True
15,1,3708,True
15,1,3084,True
15,1,2708,True
15,1,1084,True
15,1,1084,True
15,0,726359458,True
15,1,2291,True
15,0,759178458,True
15,1,3000,True
15,1,1250,True
15,1,1000,True
15,1,1000,True
15,1,750,True
15,1,3875,True
15,1,1166,True
15,1,2000,True
15,1,2042,True
15,1,2667,True
15,1,1417,True
15,1,958,True
15,1,6125,True
15,1,1917,True
15,1,1333,True
15,1,1084,True
15,1,2792,True
15,1,3541,True
15,1,1209,True
15,1,2250,True
15,1,1209,True
15,1,1000,True
15,1,916,True
15,1,916,True
15,1,1000,True
15,1,2208,True
15,1,1083,True
15,1,1000,True
15,1,3667,True
15,1,1958,True
15,1,1166,True
15,1,1375,True
15,1,3250,True
15,1,1750,True
15,1,2292,True
15,1,1125,True
15,1,2250,True
15,1,1083,True
15,1,916,True
15,1,958,True
15,1,833,True
15,1,791,True
15,1,750,True
15,1,792,True
15,1,791,True
15,1,709,True
15,1,667,True
15,1,667,True
15,1,625,True
15,1,708,True
15,1,2042,True
15,1,1291,True
15,1,1250,True
15,1,1042,True
15,0,720011875,True
15,0,716602333,True
15,1,3000,True
15,0,736800250,True
15,1,3750,True
15,1,1875,True
15,1,1125,True
15,1,2083,True
15,1,3000,True
15,1,1041,True
15,0,751019875,True
15,0,726597042,True
15,1,3167,True
15,1,2625,True
15,1,1292,True
15,1,4708,True
15,1,1417,True
15,1,3750,True
15,1,1208,True
15,1,1834,True
15,1,1209,True
15,0,723782625,True
15,1,2583,True
15,0,736411792,True
15,0,728240709,True
15,0,733869208,True
15,0,715784792,True
15,1,2041,True
15,0,736554875,True
15,1,3250,True
15,1,1208,True
15,1,1708,True
15,1,1167,True
15,1,1333,True
15,0,734122125,True
15,1,2250,True
15,0,720961334,True
15,1,1916,True
15,1,3583,True
15,1,1875,True
15,1,1375,True
15,1,2875,True
15,1,1250,True
15,1,1083,True
15,1,2291,True
15,1,1917,True
15,1,1416,True
15,1,1000,True
15,1,1166,True
15,1,2416,True
15,1,1792,True
15,1,1667,True
15,1,1167,True
15,1,1125,True
15,1,1458,True
15,1,958,True
15,1,792,True
15,1,1166,True
15,1,5750,True
15,1,3167,True
15,1,1833,True
15,1,1917,True
15,1,3917,True
