nurses_no,hits,time,cache_enabled
5,0,1276891500,True
5,0,822233833,True
5,0,805006709,True
5,0,835481000,True
5,1,4333,True
5,0,835809583,True
5,1,12375,True
5,1,1125,True
5,1,1625,True
5,1,916,True
5,1,875,True
5,1,750,True
5,1,1167,True
5,1,1083,True
5,1,916,True
5,1,917,True
5,1,958,True
5,1,2583,True
5,1,1792,True
5,1,1083,True
5,1,1083,True
5,1,2375,True
5,1,1750,True
5,1,1125,True
5,1,875,True
5,1,4167,True
5,1,1334,True
5,1,1291,True
5,1,1084,True
5,1,2875,True
5,1,2250,True
5,1,2000,True
5,1,1084,True
5,1,875,True
5,1,1375,True
5,1,2584,True
5,1,1292,True
5,0,790852959,True
5,1,3375,True
5,0,808753708,True
5,1,2209,True
5,1,4167,True
5,1,3125,True
5,1,1208,True
5,1,3625,True
5,1,3875,True
5,1,1792,True
5,1,3000,True
5,1,1000,True
5,1,2709,True
5,1,1041,True
5,1,1084,True
5,1,3750,True
5,1,2292,True
5,1,1875,True
5,1,3875,True
5,1,1916,True
5,1,2041,True
5,1,5708,True
5,1,2667,True
5,1,1667,True
5,1,2958,True
5,1,2334,True
5,1,2125,True
5,1,2833,True
5,1,1041,True
5,1,875,True
5,1,3042,True
5,1,1083,True
5,1,834,True
5,1,2667,True
5,1,1209,True
5,0,802148000,True
5,0,802669625,True
5,1,2917,True
5,1,2958,True
5,0,819226542,True
5,1,2958,True
5,1,1083,True
5,1,958,True
5,1,2917,True
5,1,1292,True
5,1,1791,True
5,1,1292,True
5,1,2625,True
5,1,1709,True
5,1,1250,True
5,1,917,True
5,1,875,True
5,1,1167,True
5,1,2875,True
5,1,3417,True
5,1,1250,True
5,1,1875,True
5,1,1167,True
5,1,1125,True
5,1,1000,True
5,1,1750,True
5,1,2417,True
5,0,799254125,True
5,1,2667,True
5,1,2458,True
5,1,2417,True
5,1,4458,True
5,1,1250,True
5,1,1208,True
5,1,3000,True
5,1,1541,True
5,1,1291,True
5,0,795984750,True
5,0,794439041,True
5,0,793200334,True
5,1,2250,True
5,1,3625,True
5,0,849135500,True
5,1,3708,True
5,1,1458,True
5,1,10458,True
5,1,4500,True
5,1,3167,True
5,1,1292,True
5,1,1167,True
5,1,1291,True
5,1,2917,True
5,1,1500,True
5,1,1167,True
5,1,917,True
5,1,916,True
5,1,1833,True
5,1,1417,True
5,1,1791,True
5,1,1041,True
5,1,1250,True
5,1,792,True
5,1,792,True
5,1,791,True
5,1,833,True
5,1,1125,True
5,1,2500,True
5,1,1208,True
5,1,1542,True
5,1,1000,True
5,1,875,True
5,1,667,True
5,1,3166,True
5,1,1500,True
5,1,2792,True
5,1,3250,True
5,1,1208,True
5,1,750,True
5,1,875,True
5,1,2333,True
5,1,1208,True
5,1,2625,True
5,1,2042,True
5,1,2791,True
5,1,1792,True
5,0,817149458,True
5,0,795430750,True
5,1,3792,True
5,1,5292,True
5,1,2125,True
5,1,2417,True
5,1,2792,True
5,0,855200625,True
5,1,3209,True
5,1,1000,True
5,1,3334,True
5,0,884606750,True
5,1,2625,True
5,1,2500,True
5,1,1208,True
5,1,959,True
5,0,868261083,True
5,1,2792,True
5,1,1833,True
5,1,2292,True
5,1,1292,True
5,1,1083,True
5,1,1208,True
5,1,3541,True
5,1,1208,True
5,1,2041,True
5,1,1167,True
5,1,2500,True
5,1,2250,True
5,1,2917,True
5,1,3875,True
5,1,2250,True
5,1,1208,True
5,1,2833,True
5,1,1666,True
5,1,2708,True
5,1,2583,True
5,1,2666,True
5,1,2875,True
5,1,1000,True
5,1,1042,True
5,1,3458,True
5,1,1250,True
5,0,862282208,True
5,0,858788667,True
5,1,4000,True
5,1,5375,True
5,1,1834,True
5,0,817477416,True
5,0,798807667,True
5,1,2542,True
5,0,824351375,True
5,0,810138959,True
5,1,4459,True
5,0,813284791,True
5,1,3750,True
5,1,8958,True
5,1,1208,True
5,0,806358958,True
5,1,3041,True
5,1,2875,True
5,1,3875,True
5,1,2792,True
5,1,3459,True
5,1,2209,True
5,1,1416,True
5,1,2875,True
5,1,2625,True
5,1,3000,True
5,1,1208,True
5,1,1375,True
5,1,916,True
5,1,2708,True
5,1,2916,True
5,1,3500,True
5,1,1792,True
5,1,1000,True
5,1,1709,True
5,1,1041,True
5,1,1125,True
5,1,834,True
5,1,792,True
5,1,1292,True
5,1,2834,True
5,1,1250,True
5,1,1084,True
5,1,1958,True
5,1,2708,True
5,1,916,True
5,1,3333,True
5,1,1666,True
5,1,1500,True
5,1,2042,True
5,1,2833,True
5,1,1208,True
5,1,875,True
5,1,1500,True
5,1,917,True
5,1,1334,True
5,1,1208,True
5,1,1167,True
5,1,917,True
5,1,2292,True
5,1,1000,True
5,1,958,True
5,1,1458,True
5,1,916,True
5,0,800100375,True
5,1,2000,True
5,0,802456083,True
5,0,796297916,True
5,1,2083,True
5,1,4250,True
5,1,1042,True
5,1,1833,True
5,1,2667,True
5,1,1791,True
5,1,2875,True
5,1,1375,True
5,1,2417,True
5,1,1750,True
5,1,959,True
5,1,2791,True
5,1,2625,True
5,1,1833,True
5,1,1000,True
5,1,959,True
5,1,875,True
5,1,958,True
5,1,1417,True
5,1,1000,True
5,1,1959,True
5,1,1375,True
5,1,1041,True
5,1,1208,True
5,1,6542,True
5,1,1458,True
5,1,1417,True
5,1,3375,True
5,1,1250,True
5,1,1084,True
5,1,1042,True
5,1,1667,True
5,1,2084,True
5,1,2458,True
5,1,1208,True
5,1,1583,True
5,1,1542,True
5,1,2458,True
5,1,2083,True
5,1,2416,True
5,1,1417,True
5,1,1250,True
5,1,1750,True
5,1,1042,True
5,1,917,True
5,1,2167,True
5,1,2458,True
5,1,1417,True
5,1,1250,True
5,1,1000,True
5,1,1208,True
5,1,1084,True
5,1,1084,True
5,1,875,True
5,1,750,True
5,1,750,True
5,1,1083,True
5,1,958,True
5,1,2666,True
5,1,2792,True
5,1,1000,True
5,1,875,True
5,1,2792,True
5,1,1209,True
5,1,958,True
5,1,875,True
5,1,4125,True
5,1,1791,True
5,1,1250,True
5,1,1875,True
5,1,1375,True
5,1,917,True
5,1,958,True
5,1,833,True
5,1,791,True
5,1,792,True
5,1,792,True
5,1,1750,True
5,1,2125,True
5,1,2125,True
5,1,1875,True
5,1,1916,True
5,1,1833,True
5,1,1333,True
5,1,1125,True
5,1,1292,True
5,1,2916,True
5,1,917,True
5,1,1333,True
5,1,3125,True
5,1,1333,True
5,1,1083,True
5,1,2916,True
5,1,1917,True
5,1,1000,True
5,1,1000,True
5,1,2167,True
5,1,1000,True
5,1,791,True
5,1,2292,True
5,1,1708,True
5,1,2667,True
5,1,2625,True
5,1,1708,True
5,0,804427375,True
5,0,803193375,True
5,0,801869208,True
5,1,3041,True
5,1,3042,True
5,1,5125,True
5,1,1291,True
5,1,5625,True
5,1,3542,True
5,0,790706167,True
5,1,2542,True
5,0,789280333,True
5,1,3042,True
5,1,3250,True
5,1,1959,True
5,1,3791,True
5,1,3042,True
5,1,1209,True
5,1,2542,True
5,1,1042,True
5,1,833,True
5,1,2708,True
5,1,1542,True
5,1,2542,True
5,1,3958,True
5,1,1250,True
5,1,792,True
5,1,792,True
5,1,2750,True
5,1,1125,True
5,1,1000,True
5,1,958,True
5,1,1791,True
5,1,2750,True
5,1,2834,True
5,1,1292,True
5,1,1209,True
5,1,1166,True
5,1,3083,True
5,1,4333,True
5,1,2958,True
5,1,1375,True
5,1,2333,True
5,1,2709,True
5,1,1208,True
5,1,2958,True
5,1,1084,True
5,1,2375,True
5,1,1041,True
5,1,2083,True
5,1,1209,True
5,1,916,True
5,1,2166,True
5,1,958,True
5,1,875,True
5,1,750,True
5,1,834,True
5,1,792,True
5,1,2833,True
5,1,1084,True
5,1,708,True
5,1,708,True
5,1,3792,True
5,1,1084,True
5,1,958,True
5,1,2500,True
5,0,800682792,True
5,1,141916,True
5,1,4167,True
5,1,1292,True
5,1,2875,True
5,1,3708,True
5,1,3250,True
5,1,3250,True
5,1,4416,True
5,1,1583,True
5,0,819063708,True
5,0,829940125,True
5,1,2459,True
5,1,2792,True
5,1,3125,True
5,1,8167,True
5,1,3583,True
5,0,832762208,True
5,1,4042,True
5,0,791581250,True
5,1,2458,True
5,1,916,True
5,0,803598750,True
5,1,2167,True
5,1,3541,True
5,1,1334,True
5,1,3333,True
5,1,1208,True
5,1,3667,True
5,1,2042,True
5,1,1166,True
5,1,2875,True
5,1,2125,True
5,1,1333,True
5,1,1583,True
5,1,2041,True
5,1,1916,True
5,1,1250,True
5,1,2042,True
5,1,1166,True
5,1,1875,True
5,1,2375,True
5,1,1458,True
5,1,1625,True
5,1,2584,True
5,1,1125,True
5,1,834,True
5,1,2291,True
5,1,2042,True
5,1,1250,True
5,1,1917,True
5,1,2250,True
5,1,1166,True
5,1,1292,True
5,1,1875,True
5,1,2083,True
5,1,2875,True
5,1,3333,True
5,1,2750,True
5,1,1083,True
5,1,958,True
5,1,1625,True
5,1,1583,True
5,1,1584,True
5,1,2750,True
5,1,1708,True
5,1,1250,True
5,1,1833,True
5,1,1167,True
5,1,917,True
5,1,1167,True
5,1,1000,True
5,1,959,True
5,1,1209,True
5,1,1042,True
5,1,1125,True
5,1,917,True
5,1,1000,True
5,1,959,True
5,1,1000,True
5,1,1083,True
5,1,916,True
5,1,917,True
5,1,958,True
5,1,833,True
5,1,958,True
5,1,2125,True
5,1,1125,True
5,1,1375,True
5,1,1333,True
5,1,1041,True
5,1,1625,True
5,1,959,True
5,1,2916,True
5,1,3042,True
5,1,3208,True
5,1,2459,True
5,1,1958,True
5,1,2083,True
5,1,1333,True
5,1,6083,True
5,0,822850208,True
5,0,798908333,True
5,0,797628458,True
5,1,2333,True
5,1,7959,True
5,1,4292,True
5,1,2042,True
5,1,2667,True
5,1,1917,True
5,1,1375,True
5,1,3458,True
5,1,1125,True
5,1,875,True
5,0,800502250,True
5,0,808700666,True
5,1,3208,True
5,0,832897958,True
5,1,3500,True
5,0,863002583,True
5,1,3167,True
5,1,3417,True
5,1,1250,True
5,1,4750,True
5,0,842871291,True
5,1,2833,True
5,0,805122875,True
5,1,3000,True
5,1,2166,True
5,1,1000,True
5,0,840684500,True
5,1,3125,True
5,1,2458,True
5,1,1958,True
5,0,807592917,True
5,1,3375,True
5,1,1208,True
5,1,1125,True
5,1,917,True
5,1,3000,True
5,1,3084,True
5,1,13708,True
5,0,815569208,True
5,0,820783625,True
5,1,2709,True
5,1,1500,True
5,1,3875,True
5,1,3083,True
5,0,842595333,True
5,1,3000,True
5,1,3250,True
5,1,20541,True
5,1,10250,True
5,1,6625,True
5,0,815925708,True
5,0,789807084,True
5,1,4166,True
5,1,2083,True
5,1,1042,True
5,1,1709,True
