nurses_no,hits,time,cache_enabled
8,0,1291069791,True
8,1,4875,True
8,0,728506458,True
8,0,717575833,True
8,1,3500,True
8,1,1708,True
8,1,1375,True
8,1,1250,True
8,1,1000,True
8,1,2875,True
8,1,2500,True
8,1,959,True
8,1,2333,True
8,1,2500,True
8,1,1958,True
8,1,2792,True
8,1,1833,True
8,1,1292,True
8,1,1791,True
8,1,2917,True
8,1,1084,True
8,1,2416,True
8,1,1084,True
8,1,1750,True
8,1,1625,True
8,1,1250,True
8,1,1417,True
8,1,1500,True
8,1,1042,True
8,1,1125,True
8,1,834,True
8,1,875,True
8,1,750,True
8,1,9042,True
8,1,1917,True
8,1,1250,True
8,1,1041,True
8,1,1250,True
8,1,833,True
8,1,1125,True
8,1,1250,True
8,1,875,True
8,0,725014250,True
8,0,713937417,True
8,1,3459,True
8,0,704876000,True
8,1,2541,True
8,0,705030125,True
8,1,2375,True
8,1,2333,True
8,0,782640042,True
8,1,3500,True
8,1,2625,True
8,1,1209,True
8,1,959,True
8,1,750,True
8,1,2917,True
8,1,1125,True
8,1,833,True
8,1,4417,True
8,1,1791,True
8,1,1083,True
8,1,4666,True
8,1,2833,True
8,1,2542,True
8,1,2334,True
8,1,1833,True
8,1,1209,True
8,1,1584,True
8,1,2875,True
8,1,1250,True
8,1,1000,True
8,1,3125,True
8,1,2291,True
8,1,2125,True
8,1,3500,True
8,1,2292,True
8,1,1625,True
8,1,3833,True
8,1,2875,True
8,1,1875,True
8,1,4125,True
8,1,2167,True
8,1,1958,True
8,1,2583,True
8,1,1250,True
8,1,958,True
8,1,2042,True
8,1,1041,True
8,1,1000,True
8,1,3083,True
8,1,3500,True
8,1,2541,True
8,1,2750,True
8,1,1250,True
8,1,2959,True
8,1,2625,True
8,1,1375,True
8,0,714005125,True
8,0,717805709,True
8,0,712514916,True
8,1,3208,True
8,1,2292,True
8,1,4000,True
8,1,1292,True
8,1,3709,True
8,1,1167,True
8,1,1750,True
8,1,1083,True
8,1,2458,True
8,1,1458,True
8,1,1750,True
8,1,2167,True
8,1,1250,True
8,1,875,True
8,1,2667,True
8,1,1292,True
8,1,1875,True
8,1,1833,True
8,1,2666,True
8,1,2375,True
8,1,1084,True
8,1,916,True
8,1,1875,True
8,1,1125,True
8,1,1417,True
8,1,875,True
8,1,1958,True
8,1,1208,True
8,1,2834,True
8,1,1125,True
8,1,1041,True
8,1,875,True
8,1,792,True
8,1,875,True
8,0,723806959,True
8,1,2292,True
8,1,1417,True
8,1,1166,True
8,1,958,True
8,1,1042,True
8,1,959,True
8,1,3750,True
8,1,1375,True
8,1,1166,True
8,1,2875,True
8,1,1208,True
8,1,917,True
8,1,959,True
8,1,1834,True
8,1,3542,True
8,1,1125,True
8,0,708909583,True
8,0,701174167,True
8,0,711876500,True
8,1,2542,True
8,1,1167,True
8,1,917,True
8,1,1750,True
8,1,1292,True
8,1,1458,True
8,1,875,True
8,1,833,True
8,1,1292,True
8,1,1458,True
8,1,1042,True
8,1,917,True
8,1,2334,True
8,1,1334,True
8,1,709,True
8,1,2125,True
8,1,1375,True
8,1,1625,True
8,1,1208,True
8,1,1833,True
8,1,1167,True
8,1,958,True
8,1,1208,True
8,1,834,True
8,1,1708,True
8,1,1792,True
8,1,1667,True
8,1,1000,True
8,1,1125,True
8,1,2333,True
8,1,1958,True
8,1,1167,True
8,1,833,True
8,1,916,True
8,1,1125,True
8,1,833,True
8,1,792,True
8,1,792,True
8,1,791,True
8,1,833,True
8,1,1250,True
8,1,1083,True
8,1,875,True
8,1,875,True
8,1,875,True
8,1,708,True
8,1,708,True
8,1,792,True
8,1,708,True
8,1,708,True
8,1,875,True
8,1,1000,True
8,1,958,True
8,1,833,True
8,1,916,True
8,1,916,True
8,1,750,True
8,1,1125,True
8,1,958,True
8,1,1000,True
