nurses_no,hits,time,cache_enabled
21,0,1500460542,True
21,1,11167,True
21,0,924140583,True
21,0,824939791,True
21,0,822010333,True
21,0,882330959,True
21,1,3166,True
21,1,1417,True
21,1,3167,True
21,1,2250,True
21,1,3625,True
21,1,1666,True
21,1,1292,True
21,1,1167,True
21,1,2458,True
21,1,2458,True
21,1,1208,True
21,1,2459,True
21,1,1917,True
21,1,1125,True
21,1,2792,True
21,1,1209,True
21,1,3125,True
21,1,2500,True
21,1,4041,True
21,1,1875,True
21,1,2584,True
21,1,1583,True
21,1,3250,True
21,1,3125,True
21,1,2750,True
21,1,10958,True
21,1,1709,True
21,1,1125,True
21,1,875,True
21,1,1500,True
21,1,1209,True
21,1,1166,True
21,1,2583,True
21,1,1208,True
21,1,1834,True
21,1,1250,True
21,1,1250,True
21,1,1292,True
21,1,1083,True
21,1,959,True
21,1,917,True
21,1,2000,True
21,1,1541,True
21,1,916,True
21,1,875,True
21,1,875,True
21,1,3167,True
21,1,2042,True
21,1,1958,True
21,1,2833,True
21,1,1667,True
21,1,1000,True
21,1,2417,True
21,1,916,True
21,1,875,True
21,1,1125,True
21,1,833,True
21,1,2084,True
21,1,2083,True
21,1,1166,True
21,1,958,True
21,1,2291,True
21,1,1708,True
21,1,1083,True
21,1,2625,True
21,1,2250,True
21,1,1250,True
21,1,1333,True
21,1,834,True
21,1,1834,True
21,0,825759625,True
21,0,801723709,True
21,1,3625,True
21,1,4417,True
21,1,3833,True
21,1,2709,True
21,1,3666,True
21,1,1250,True
21,1,917,True
21,1,917,True
21,1,3625,True
21,1,1250,True
21,1,2833,True
21,1,2708,True
21,1,1083,True
21,1,2500,True
21,1,2958,True
21,1,1166,True
21,1,3416,True
21,1,1125,True
21,1,958,True
21,1,792,True
21,1,709,True
21,1,3417,True
21,1,1208,True
21,1,917,True
21,0,822011625,True
21,0,842596667,True
21,0,827136958,True
21,0,820607000,True
21,1,2667,True
21,1,2416,True
21,1,2833,True
21,1,1334,True
21,1,2709,True
21,1,1833,True
21,1,1333,True
21,1,1042,True
21,1,917,True
21,1,792,True
21,1,1708,True
21,1,1125,True
21,1,2417,True
21,1,1334,True
21,1,1042,True
21,1,2417,True
21,1,1167,True
21,1,833,True
21,1,2750,True
21,1,1750,True
21,1,1250,True
21,1,1834,True
21,1,3000,True
21,1,2375,True
21,1,1083,True
21,1,959,True
21,1,1000,True
21,1,875,True
21,1,1750,True
21,1,1208,True
21,1,958,True
21,1,1125,True
21,1,875,True
21,1,792,True
21,1,875,True
21,1,834,True
21,1,833,True
21,1,792,True
21,1,875,True
21,1,4625,True
21,1,2708,True
21,1,1084,True
21,1,1916,True
21,1,1166,True
21,1,1042,True
21,1,959,True
21,1,875,True
21,1,792,True
21,1,875,True
21,1,875,True
21,1,3875,True
21,1,1208,True
21,1,916,True
21,1,1041,True
21,1,1959,True
21,1,1208,True
21,1,875,True
21,1,750,True
21,1,959,True
21,1,792,True
21,1,875,True
21,1,1250,True
21,1,2291,True
21,1,2750,True
21,1,1458,True
21,1,1791,True
21,1,4125,True
21,1,959,True
21,1,3083,True
21,1,1167,True
21,1,1041,True
21,1,833,True
21,1,792,True
21,1,792,True
21,1,750,True
21,1,1750,True
21,1,1250,True
21,1,916,True
21,1,917,True
21,1,1125,True
21,1,3458,True
21,1,1917,True
21,1,1917,True
21,1,1000,True
21,1,1875,True
21,1,2208,True
21,1,1083,True
21,1,1417,True
21,1,1417,True
21,1,959,True
21,1,875,True
21,1,1083,True
21,1,917,True
21,1,792,True
21,1,1000,True
21,1,834,True
