nurses_no,hits,time,cache_enabled
16,0,1089028833,True
16,0,822719958,True
16,1,3125,True
16,1,4166,True
16,0,793243333,True
16,1,2750,True
16,1,1166,True
16,1,3000,True
16,0,787055417,True
16,0,790798042,True
16,1,2833,True
16,1,1875,True
16,1,2625,True
16,1,1208,True
16,1,1083,True
16,1,2084,True
16,1,1000,True
16,1,13792,True
16,1,3042,True
16,1,1500,True
16,1,2584,True
16,1,1625,True
16,1,1250,True
16,1,2792,True
16,1,1791,True
16,1,1959,True
16,1,3500,True
16,1,1042,True
16,1,917,True
16,1,1375,True
16,1,1042,True
16,1,1708,True
16,1,1125,True
16,1,1125,True
16,1,2959,True
16,1,1333,True
16,1,1042,True
16,1,3875,True
16,1,1417,True
16,1,1208,True
16,1,2250,True
16,1,1208,True
16,1,1208,True
16,1,1750,True
16,1,1167,True
16,1,1000,True
16,1,13542,True
16,1,2250,True
16,1,1834,True
16,1,1125,True
16,1,1083,True
16,1,1875,True
16,1,1708,True
16,1,1292,True
16,1,1166,True
16,1,2541,True
16,1,1292,True
16,1,1833,True
16,1,1125,True
16,1,1833,True
16,1,3250,True
16,1,1333,True
16,1,2791,True
16,1,1125,True
16,1,1875,True
16,1,958,True
16,1,875,True
16,1,1041,True
16,1,875,True
16,1,750,True
16,1,2333,True
16,1,2958,True
16,1,1416,True
16,1,1000,True
16,1,2083,True
16,0,816190166,True
16,1,2416,True
16,1,1375,True
16,1,1084,True
16,0,836420000,True
16,1,2625,True
16,1,3916,True
16,1,1333,True
16,0,778445500,True
16,1,4250,True
16,1,1125,True
16,1,2459,True
16,0,788656042,True
16,1,2500,True
16,1,1125,True
16,1,1000,True
16,1,2750,True
16,1,2042,True
16,1,1416,True
16,1,958,True
16,1,791,True
16,1,709,True
16,1,7417,True
16,1,2541,True
16,0,798394334,True
16,1,3625,True
16,1,2833,True
16,1,3250,True
16,1,1958,True
16,1,2083,True
16,1,1167,True
16,1,3000,True
16,0,796219333,True
16,1,2375,True
16,1,1042,True
16,1,916,True
16,1,4042,True
16,0,803769417,True
16,0,788869375,True
16,0,814090500,True
16,0,793811209,True
16,0,794239334,True
16,0,824485375,True
16,1,2375,True
16,1,3250,True
16,0,800997291,True
16,1,2959,True
16,1,1542,True
16,1,1250,True
16,1,1000,True
16,0,813259959,True
16,0,898155084,True
16,1,2375,True
16,1,1250,True
16,0,797597375,True
16,1,2500,True
16,1,1041,True
16,1,917,True
16,1,2083,True
16,1,1041,True
16,1,1584,True
16,0,787597083,True
16,1,2334,True
16,0,792552041,True
16,1,2666,True
16,1,1209,True
16,1,917,True
16,1,834,True
16,1,1666,True
16,1,1959,True
16,1,1250,True
16,1,1167,True
16,1,959,True
16,1,1000,True
16,1,1208,True
16,1,833,True
16,1,1083,True
16,1,1041,True
16,1,1042,True
16,1,1292,True
16,1,1084,True
16,1,1083,True
16,1,834,True
16,1,916,True
16,1,792,True
16,1,875,True
16,1,1000,True
16,1,1000,True
16,1,2375,True
16,1,1125,True
16,1,1375,True
16,1,1166,True
16,1,1000,True
16,1,916,True
16,1,1500,True
16,1,2084,True
16,1,1084,True
16,1,1666,True
16,1,917,True
16,1,1166,True
16,1,1042,True
16,1,917,True
16,1,917,True
16,0,788508959,True
16,0,803751000,True
16,0,810406250,True
16,1,3750,True
16,1,2917,True
16,1,1167,True
16,0,805439916,True
16,1,2916,True
16,1,1750,True
16,1,2917,True
16,1,1333,True
16,0,791586791,True
16,1,2708,True
16,0,797583208,True
16,1,3542,True
16,1,4667,True
16,1,4750,True
16,1,1208,True
16,1,2708,True
16,1,1250,True
16,1,1000,True
16,1,1750,True
16,1,1041,True
16,1,2416,True
16,1,1583,True
16,1,1709,True
16,1,2083,True
16,1,1042,True
16,1,1500,True
16,1,1750,True
16,1,2708,True
16,1,1000,True
16,1,875,True
16,1,2166,True
16,1,2250,True
16,1,916,True
16,1,834,True
16,1,1125,True
16,1,834,True
16,1,875,True
16,1,2125,True
16,1,1375,True
16,1,1209,True
16,1,1666,True
16,1,1500,True
16,1,15625,True
16,1,3375,True
16,0,793310250,True
16,1,3167,True
16,0,802788708,True
16,1,2750,True
16,1,1875,True
16,0,791343583,True
16,1,2125,True
16,0,805595667,True
16,1,2709,True
16,1,3166,True
16,1,1041,True
16,0,791541958,True
16,1,3000,True
16,1,1125,True
16,1,875,True
16,1,4208,True
16,1,2958,True
16,1,2500,True
16,1,2833,True
16,1,2000,True
