nurses_no,hits,time,cache_enabled
20,0,1494559167,True
20,1,5250,True
20,0,840759084,True
20,1,4583,True
20,1,11708,True
20,1,7375,True
20,0,841547584,True
20,1,2500,True
20,1,2625,True
20,1,2500,True
20,0,819082042,True
20,1,2584,True
20,1,1833,True
20,0,819300041,True
20,1,2875,True
20,1,1250,True
20,1,1625,True
20,1,1083,True
20,1,917,True
20,1,791,True
20,1,833,True
20,1,13875,True
20,1,1292,True
20,1,3041,True
20,1,1125,True
20,1,1666,True
20,1,2500,True
20,1,1208,True
20,1,1292,True
20,1,1042,True
20,1,1041,True
20,1,1000,True
20,1,1667,True
20,1,1166,True
20,1,2875,True
20,1,1792,True
20,1,2750,True
20,1,2250,True
20,1,1750,True
20,1,1000,True
20,1,1167,True
20,1,1500,True
20,1,1083,True
20,1,1041,True
20,1,2166,True
20,1,1333,True
20,1,1125,True
20,1,1583,True
20,1,1041,True
20,1,1083,True
20,1,2708,True
20,1,1334,True
20,1,1083,True
20,1,875,True
20,1,1000,True
20,1,916,True
20,1,875,True
20,1,834,True
20,1,792,True
20,1,1625,True
20,1,875,True
20,1,750,True
20,1,875,True
20,1,750,True
20,1,750,True
20,1,750,True
20,1,667,True
20,1,709,True
20,1,1208,True
20,1,667,True
20,1,1000,True
20,1,792,True
20,1,750,True
20,1,833,True
20,1,750,True
20,1,750,True
20,1,916,True
20,1,1083,True
20,1,834,True
20,1,834,True
20,1,1083,True
20,1,917,True
20,1,2584,True
20,1,1125,True
20,1,3084,True
20,1,1084,True
20,1,875,True
20,1,916,True
20,1,875,True
20,1,791,True
20,1,2167,True
20,1,1000,True
20,1,791,True
20,1,833,True
20,1,875,True
20,1,2084,True
20,1,1084,True
20,1,1292,True
20,1,1083,True
20,1,1375,True
20,1,1083,True
20,1,1000,True
20,1,833,True
20,1,1083,True
20,1,875,True
20,1,792,True
20,1,833,True
20,1,1125,True
20,1,1167,True
20,1,834,True
20,1,2041,True
20,1,833,True
20,1,959,True
20,1,792,True
20,1,791,True
20,1,1000,True
20,1,833,True
20,1,792,True
20,1,750,True
20,1,750,True
20,1,1041,True
20,1,1084,True
20,1,1084,True
20,1,833,True
20,1,1000,True
20,1,833,True
20,1,3750,True
20,1,1250,True
20,0,809677875,True
20,1,2958,True
20,1,1250,True
20,0,808119250,True
20,0,826572583,True
20,1,4000,True
20,1,2625,True
20,1,2792,True
20,1,1917,True
20,1,3167,True
20,1,1208,True
20,1,2834,True
20,1,1959,True
20,1,1291,True
20,1,1250,True
20,1,875,True
20,1,2084,True
20,1,1708,True
20,1,1459,True
20,1,2959,True
