nurses_no,hits,time,cache_enabled
18,0,1063954666,True
18,1,3792,True
18,0,740482667,True
18,0,722280541,True
18,1,3792,True
18,1,2458,True
18,0,732314875,True
18,1,2667,True
18,1,3042,True
18,1,1917,True
18,1,1333,True
18,1,1833,True
18,1,2500,True
18,1,2500,True
18,1,1000,True
18,1,3125,True
18,1,1792,True
18,1,2417,True
18,1,958,True
18,1,792,True
18,1,2417,True
18,1,1208,True
18,1,2209,True
18,0,730964083,True
18,0,694011292,True
18,1,2250,True
18,1,917,True
18,1,791,True
18,1,2375,True
18,1,1875,True
18,1,3667,True
18,1,1541,True
18,1,1958,True
18,1,2459,True
18,1,17250,True
18,1,12125,True
18,1,1417,True
18,1,1125,True
18,1,1792,True
18,1,959,True
18,1,833,True
18,1,916,True
18,1,791,True
18,1,917,True
18,1,3083,True
18,1,1791,True
18,1,1125,True
18,1,916,True
18,1,834,True
18,1,1875,True
18,1,3375,True
18,1,1208,True
18,1,2084,True
18,1,1792,True
18,1,2042,True
18,1,1333,True
18,1,1250,True
18,1,916,True
18,1,1041,True
18,1,875,True
18,1,2417,True
18,1,1083,True
18,1,875,True
18,1,1042,True
18,1,2667,True
18,1,1125,True
18,1,791,True
18,1,1208,True
18,1,1083,True
18,1,958,True
18,1,1708,True
18,1,917,True
18,1,833,True
18,1,917,True
18,1,2583,True
18,0,730219500,True
18,1,3750,True
18,1,1041,True
18,1,2917,True
18,1,1041,True
18,0,699800334,True
18,0,718457791,True
18,1,2625,True
18,0,707306875,True
18,1,2792,True
18,0,704987958,True
18,1,2334,True
18,1,2500,True
18,1,1041,True
18,1,3917,True
18,1,2666,True
18,1,1791,True
18,1,1333,True
18,1,1333,True
18,1,2708,True
18,1,1792,True
18,1,1250,True
18,1,2833,True
18,1,1333,True
18,1,2875,True
18,1,1958,True
18,1,12208,True
18,1,1084,True
18,1,792,True
18,1,875,True
18,1,1709,True
18,1,1750,True
18,1,1042,True
18,1,1292,True
18,1,1041,True
18,1,1208,True
18,1,1000,True
18,1,958,True
18,1,875,True
18,1,1084,True
18,1,917,True
18,1,875,True
18,1,3500,True
18,1,1916,True
18,1,2542,True
18,1,1166,True
18,1,1208,True
18,1,1208,True
18,1,1042,True
18,1,2208,True
18,1,1292,True
18,1,2542,True
18,1,1417,True
18,1,1541,True
18,1,3833,True
18,1,916,True
18,1,1417,True
18,1,1208,True
18,1,1125,True
18,1,958,True
18,1,1583,True
18,1,1666,True
18,1,917,True
18,1,833,True
18,1,1375,True
18,1,1042,True
18,1,1083,True
18,1,833,True
18,1,792,True
18,1,792,True
18,1,750,True
18,1,625,True
18,1,791,True
18,1,1292,True
18,1,1334,True
18,1,1875,True
18,1,1250,True
18,1,1292,True
18,1,1083,True
18,1,834,True
18,1,750,True
18,1,1167,True
18,1,2542,True
18,1,1667,True
18,1,1208,True
18,1,1000,True
18,1,1250,True
18,1,2292,True
18,1,1250,True
18,1,1875,True
18,1,2042,True
18,1,916,True
18,1,792,True
18,1,1584,True
18,1,917,True
18,1,833,True
18,0,701740708,True
18,1,3125,True
18,1,1083,True
18,0,698683042,True
18,0,702104125,True
18,0,742086459,True
18,1,3500,True
18,1,4166,True
18,1,3666,True
18,1,959,True
18,1,958,True
18,1,3083,True
18,0,694759291,True
18,1,2500,True
18,1,3542,True
18,1,2917,True
18,1,4209,True
18,1,2791,True
18,0,699215209,True
18,1,2625,True
18,1,1125,True
18,0,698148833,True
18,1,3584,True
18,1,1125,True
18,1,3542,True
18,1,2875,True
18,1,2417,True
18,1,3625,True
18,1,2542,True
18,1,1084,True
18,1,875,True
18,1,1917,True
18,1,5542,True
18,1,1166,True
18,1,2709,True
18,1,1167,True
18,1,1833,True
18,1,4000,True
18,1,1334,True
18,1,1750,True
18,1,1000,True
18,1,2750,True
18,1,1083,True
18,1,791,True
18,1,2333,True
18,1,1916,True
18,1,1792,True
18,1,875,True
18,1,917,True
18,1,2916,True
18,1,2000,True
18,1,2709,True
18,0,690775708,True
18,0,728411416,True
18,1,2458,True
18,0,693361959,True
18,1,2750,True
18,1,3375,True
18,1,2792,True
18,1,1000,True
18,0,690099042,True
18,1,2542,True
18,1,1000,True
18,1,2917,True
18,1,3083,True
18,1,1791,True
18,1,3167,True
18,1,916,True
18,1,6083,True
18,0,710756708,True
18,1,3083,True
18,1,1000,True
18,0,723053708,True
18,1,2791,True
18,0,699717083,True
18,1,2625,True
18,1,4666,True
18,1,4459,True
18,1,2667,True
18,1,2500,True
18,1,10834,True
18,1,2667,True
18,1,1750,True
18,1,1167,True
18,1,1000,True
18,1,875,True
18,1,1500,True
18,1,916,True
18,1,2542,True
18,1,1333,True
18,1,958,True
18,1,875,True
18,1,792,True
18,1,791,True
18,1,1917,True
18,1,2542,True
18,1,4458,True
18,1,1875,True
18,1,1209,True
18,1,1333,True
18,1,1917,True
18,1,1250,True
18,1,1042,True
18,1,1542,True
18,1,1958,True
18,1,1000,True
18,1,2667,True
18,1,1875,True
18,1,3750,True
18,1,1916,True
18,1,3459,True
18,1,1417,True
18,1,3834,True
18,1,2000,True
18,1,1250,True
18,1,1584,True
18,1,1375,True
18,1,2000,True
18,1,1458,True
18,1,1000,True
18,1,833,True
18,1,792,True
18,1,750,True
18,1,791,True
18,1,2083,True
18,1,1209,True
18,1,14291,True
18,1,1750,True
18,1,2333,True
18,1,1125,True
18,1,3625,True
18,1,1584,True
18,1,2416,True
18,1,1292,True
18,1,1208,True
18,1,2292,True
18,1,1833,True
18,1,1500,True
18,1,1834,True
18,1,3625,True
18,1,2541,True
18,1,1416,True
18,1,2417,True
18,1,2250,True
18,1,2333,True
18,1,1541,True
18,1,1375,True
18,1,1042,True
18,1,1750,True
18,1,3125,True
18,1,2084,True
18,1,1625,True
18,1,1125,True
18,1,2292,True
18,1,2166667,True
18,1,4042,True
18,1,2292,True
18,1,2250,True
18,1,1250,True
18,1,875,True
18,1,750,True
18,1,2000,True
18,1,1500,True
18,1,1792,True
18,1,1500,True
18,1,958,True
18,1,1458,True
18,1,1125,True
18,1,958,True
18,1,1916,True
18,1,2125,True
18,1,1333,True
18,1,1458,True
18,1,875,True
18,1,1084,True
18,1,875,True
18,1,791,True
18,1,3042,True
18,1,2083,True
18,1,1041,True
18,1,1666,True
18,1,834,True
18,1,792,True
18,1,833,True
18,0,701038166,True
18,1,2709,True
18,1,2500,True
18,1,2666,True
18,0,699060000,True
18,1,2791,True
18,1,1042,True
18,1,2625,True
18,1,2833,True
18,1,2792,True
18,1,1291,True
18,1,1334,True
18,1,1416,True
18,1,959,True
18,1,833,True
18,1,2500,True
18,1,1208,True
18,1,916,True
18,1,1209,True
18,1,2416,True
18,1,1292,True
18,1,2209,True
18,1,1209,True
18,1,5417,True
18,1,2542,True
18,1,1250,True
18,1,1708,True
18,1,2750,True
18,1,2250,True
18,1,2167,True
18,1,2250,True
18,1,1125,True
18,1,1375,True
18,1,1167,True
18,1,1333,True
18,1,1167,True
18,1,2042,True
18,1,1167,True
18,1,959,True
18,1,2542,True
18,1,875,True
18,1,958,True
18,1,1292,True
18,1,1000,True
18,1,1250,True
18,1,1250,True
18,1,1083,True
18,1,2333,True
18,1,2250,True
18,1,2000,True
18,1,3958,True
18,1,1084,True
18,0,711656833,True
18,1,2542,True
18,0,703464292,True
18,1,3583,True
18,1,1167,True
18,1,2709,True
18,1,3666,True
18,1,3041,True
18,1,2833,True
18,1,1083,True
18,0,706611167,True
18,1,2333,True
18,1,1667,True
18,1,2833,True
18,1,2917,True
18,1,1209,True
18,1,1167,True
18,1,1791,True
18,1,3208,True
18,1,3375,True
18,1,2209,True
18,1,1750,True
18,1,1083,True
18,1,1083,True
18,1,2375,True
18,1,959,True
18,1,791,True
18,1,875,True
18,1,1750,True
18,1,3125,True
18,1,1916,True
18,1,2458,True
18,1,1416,True
18,1,1500,True
18,1,2916,True
18,1,1209,True
18,1,1791,True
18,1,1208,True
18,1,1958,True
18,1,2500,True
18,1,1833,True
18,1,1250,True
18,1,1333,True
18,1,1375,True
18,1,1041,True
18,1,3542,True
18,1,1542,True
18,1,1541,True
18,1,1500,True
18,1,1125,True
18,0,690838167,True
18,0,704857792,True
18,1,2583,True
18,1,1875,True
18,0,696169542,True
18,1,2917,True
18,1,1875,True
18,1,1875,True
18,1,1333,True
18,1,916,True
18,1,1208,True
18,1,2958,True
18,1,1041,True
18,1,1917,True
18,1,1291,True
18,1,1125,True
18,1,1042,True
18,1,958,True
18,1,1916,True
18,1,2125,True
18,1,2958,True
18,1,2709,True
18,1,1875,True
18,1,1167,True
18,1,3500,True
18,1,1209,True
18,1,2792,True
18,1,2167,True
18,1,1250,True
18,1,917,True
18,1,2750,True
18,1,2667,True
18,0,732842708,True
18,1,2541,True
18,1,2750,True
18,0,721863875,True
18,1,3042,True
18,1,3000,True
18,1,3541,True
18,1,1208,True
18,1,1875,True
18,1,4542,True
18,1,2875,True
18,1,1167,True
18,1,3541,True
18,1,1166,True
18,1,2875,True
18,1,1334,True
18,1,1875,True
18,1,1666,True
18,1,1125,True
18,1,1209,True
18,1,1041,True
18,1,917,True
18,1,1291,True
18,1,1083,True
18,1,958,True
18,1,1084,True
18,1,3708,True
18,1,1875,True
18,1,1334,True
18,1,3208,True
18,1,1791,True
18,1,1667,True
18,1,1250,True
18,1,1375,True
18,1,1125,True
18,1,1083,True
18,1,1167,True
18,1,2000,True
18,1,1583,True
18,1,1667,True
18,1,1750,True
18,1,2334,True
18,1,959,True
18,1,1375,True
18,1,1542,True
18,1,1125,True
18,1,1375,True
18,1,1125,True
18,1,1375,True
18,1,833,True
18,1,792,True
18,1,1375,True
18,1,1000,True
18,1,1667,True
18,1,1041,True
18,1,3125,True
18,1,958,True
18,1,958,True
18,0,691442625,True
18,1,2625,True
18,1,1125,True
18,1,958,True
18,1,834,True
18,0,685956750,True
18,1,2875,True
18,1,1875,True
18,1,1291,True
18,1,917,True
18,1,958,True
18,0,691362250,True
18,1,3208,True
18,0,706605458,True
18,1,2709,True
18,1,3208,True
18,1,958,True
18,1,25959,True
18,1,2875,True
18,1,3333,True
18,1,2584,True
18,0,706408792,True
18,1,3417,True
18,1,2583,True
18,1,2667,True
18,1,3083,True
18,1,3791,True
18,1,1292,True
18,0,698888709,True
18,1,4167,True
18,1,3458,True
18,1,1375,True
18,1,1417,True
18,1,916,True
18,1,1750,True
18,1,916,True
18,1,1833,True
18,1,2875,True
18,1,958,True
18,1,1833,True
18,1,1458,True
18,1,1959,True
18,1,1209,True
18,1,2833,True
18,0,700932917,True
18,1,2625,True
18,1,2500,True
18,1,3542,True
18,1,1833,True
18,1,1292,True
18,1,2833,True
18,1,1500,True
18,1,2917,True
18,1,3208,True
18,1,2500,True
18,1,1792,True
18,1,1500,True
18,1,1208,True
18,1,1250,True
18,1,3750,True
18,1,1959,True
18,1,1208,True
18,1,3291,True
18,1,1166,True
18,0,684342166,True
18,0,683691666,True
18,1,2125,True
18,1,1542,True
18,0,685931333,True
18,1,2167,True
18,1,6791,True
18,1,1417,True
18,0,698852583,True
18,1,2583,True
18,1,1542,True
18,1,1041,True
18,1,1000,True
18,0,684852833,True
18,0,695945292,True
18,1,3916,True
18,1,2542,True
18,1,1542,True
18,1,204125,True
18,1,2667,True
18,1,1916,True
18,0,714151708,True
18,1,2917,True
18,1,2958,True
18,0,717800667,True
18,1,2167,True
18,1,1042,True
18,1,917,True
18,1,1000,True
18,1,1916,True
18,1,1791,True
18,1,1084,True
18,1,1375,True
18,1,917,True
18,1,792,True
18,1,1083,True
18,1,834,True
18,1,1333,True
18,1,1000,True
18,1,792,True
18,1,1000,True
18,1,875,True
18,1,833,True
18,1,1042,True
18,1,1000,True
18,1,1292,True
18,1,833,True
18,1,2792,True
18,1,1375,True
18,1,1000,True
18,1,1125,True
18,1,833,True
18,1,833,True
18,1,2250,True
18,1,1333,True
18,1,958,True
18,1,1250,True
18,1,958,True
18,1,958,True
18,1,2542,True
18,1,1291,True
18,1,1125,True
18,1,1292,True
18,1,1666,True
18,1,1042,True
18,1,958,True
18,1,1167,True
18,1,1000,True
18,1,2500,True
18,1,1625,True
18,1,1250,True
18,1,1667,True
18,1,1125,True
18,1,1083,True
18,1,1209,True
18,1,875,True
18,1,709,True
18,1,1250,True
18,1,1833,True
18,1,875,True
18,1,1125,True
18,1,959,True
18,1,1083,True
18,1,1125,True
18,1,1167,True
18,1,2500,True
18,1,1250,True
18,1,1959,True
18,1,1334,True
18,1,1125,True
18,1,1458,True
18,1,958,True
18,1,1125,True
18,1,1083,True
18,1,1000,True
18,1,2750,True
18,1,2416,True
18,1,1750,True
18,1,1458,True
18,1,1125,True
18,1,958,True
18,1,1209,True
18,1,833,True
18,1,834,True
18,1,2000,True
18,1,1417,True
18,1,1416,True
18,1,1000,True
18,1,1500,True
18,1,875,True
18,1,833,True
18,1,708,True
18,1,667,True
18,1,1084,True
18,1,792,True
18,1,1000,True
18,1,1125,True
18,1,916,True
18,1,958,True
18,1,833,True
18,1,1083,True
18,1,958,True
18,1,1125,True
18,1,1042,True
18,1,1625,True
18,1,959,True
18,1,833,True
18,1,1458,True
18,1,916,True
18,0,696215334,True
18,0,692001375,True
18,0,736612250,True
18,0,797429583,True
18,1,2791,True
18,1,2458,True
18,1,2916,True
18,1,10833,True
18,1,1042,True
18,1,3917,True
18,1,1333,True
18,1,1167,True
18,1,3208,True
18,1,1791,True
18,1,1333,True
18,1,1084,True
18,1,3208,True
18,1,1042,True
18,1,958,True
18,1,2584,True
18,1,1917,True
18,1,1833,True
18,1,3709,True
18,1,1041,True
18,1,2708,True
18,1,1084,True
18,1,1917,True
18,1,1250,True
18,1,2500,True
18,1,2000,True
18,1,2917,True
18,1,2834,True
18,1,1375,True
18,1,959,True
18,1,2750,True
18,1,4208,True
18,1,3208,True
18,1,2708,True
18,1,2333,True
18,0,705740708,True
18,1,2250,True
18,1,3000,True
18,0,805243000,True
18,0,691004875,True
18,0,691611791,True
18,1,20083,True
18,1,2084,True
18,0,696290291,True
18,1,2667,True
18,1,3416,True
18,1,3250,True
18,1,2417,True
18,1,2042,True
18,1,1583,True
18,1,2667,True
18,1,1750,True
18,1,2500,True
18,1,2292,True
18,1,3000,True
18,1,1708,True
18,1,1625,True
18,1,2250,True
18,1,1375,True
18,1,1417,True
18,1,1000,True
18,1,1125,True
18,1,1167,True
18,1,1125,True
18,1,833,True
18,1,1291,True
18,1,1166,True
18,1,1042,True
18,1,1084,True
18,1,958,True
18,1,1292,True
18,1,1166,True
18,1,1083,True
18,1,1292,True
18,1,916,True
18,1,1375,True
18,1,1250,True
18,1,1250,True
18,1,1250,True
18,1,1167,True
18,1,1083,True
18,1,2750,True
18,1,1250,True
18,1,1583,True
18,1,1125,True
18,1,1875,True
18,1,1208,True
18,1,1084,True
18,1,1208,True
18,1,1125,True
18,1,1000,True
18,1,875,True
18,1,1083,True
18,1,1208,True
18,1,2750,True
18,1,1292,True
18,1,2125,True
18,1,1208,True
18,1,1292,True
18,1,1125,True
18,1,1292,True
18,1,1166,True
18,1,875,True
18,1,875,True
18,1,1084,True
18,1,1166,True
18,1,833,True
18,1,959,True
18,1,1959,True
18,1,1125,True
18,1,750,True
18,1,1167,True
18,1,1083,True
18,1,1459,True
18,1,1334,True
18,1,1083,True
18,1,1667,True
18,1,4250,True
18,0,702714125,True
18,1,2875,True
18,1,3500,True
18,1,2583,True
18,1,2625,True
18,0,692749584,True
18,0,693554541,True
18,1,2750,True
18,1,3041,True
18,1,1250,True
18,1,2833,True
18,1,3833,True
18,1,3000,True
18,0,688090334,True
18,1,2125,True
18,1,3792,True
18,1,4041,True
18,1,1292,True
18,1,2958,True
18,1,2750,True
18,0,685320792,True
18,1,3208,True
18,1,1083,True
18,1,875,True
18,1,16292,True
18,1,4333,True
18,1,2833,True
18,1,1209,True
18,1,3000,True
18,1,1209,True
18,1,1041,True
18,0,702107833,True
18,1,3250,True
18,1,3625,True
18,1,3542,True
18,0,677610333,True
18,1,3333,True
18,1,1250,True
18,1,2417,True
18,1,3250,True
18,1,2125,True
18,1,2708,True
18,1,1833,True
18,1,2375,True
18,1,3250,True
18,0,690721375,True
18,1,2792,True
18,1,2000,True
18,1,3208,True
18,1,3834,True
18,1,3042,True
18,1,2500,True
18,1,1375,True
18,1,2416,True
18,1,1333,True
18,1,917,True
18,1,917,True
18,1,4042,True
18,1,1125,True
18,0,692824458,True
18,1,3583,True
18,1,2791,True
18,1,958,True
18,1,3000,True
18,1,1167,True
18,1,1166,True
18,1,875,True
18,1,2959,True
18,1,3375,True
18,1,1000,True
18,1,1958,True
18,1,1250,True
18,1,917,True
18,1,2167,True
18,1,3541,True
18,1,4042,True
18,1,2917,True
18,1,3042,True
18,1,1666,True
18,1,3041,True
18,1,3000,True
18,1,1250,True
18,1,2750,True
18,1,958,True
18,1,2708,True
18,1,1208,True
18,1,3375,True
18,1,3167,True
18,1,2375,True
18,1,2750,True
18,1,1250,True
18,0,697587250,True
18,1,2959,True
18,1,15375,True
18,1,2625,True
18,0,686869125,True
18,1,2917,True
18,0,678444167,True
18,1,2875,True
18,1,1666,True
18,1,1750,True
18,1,2625,True
18,1,2666,True
18,1,2666,True
18,1,2875,True
18,1,1958,True
18,1,2000,True
18,1,1250,True
18,1,1416,True
18,1,1084,True
18,1,1416,True
18,1,1333,True
18,1,1250,True
18,1,1000,True
18,1,2666,True
18,1,1291,True
18,1,1375,True
18,1,1000,True
18,1,1708,True
18,1,1708,True
18,1,1333,True
18,1,1167,True
18,1,1417,True
18,1,1833,True
18,1,1042,True
18,1,1375,True
18,1,1167,True
18,1,2500,True
18,1,2750,True
18,1,1167,True
18,1,2625,True
18,1,1458,True
18,1,1166,True
18,1,1750,True
18,1,1167,True
18,1,1584,True
18,1,1292,True
18,1,1209,True
18,1,1042,True
18,1,2542,True
18,1,3833,True
18,1,1208,True
18,1,1834,True
18,1,2917,True
18,0,681346500,True
18,1,2709,True
18,1,1083,True
18,1,875,True
18,1,2792,True
18,1,3209,True
18,0,676181000,True
18,1,2792,True
18,1,2666,True
18,1,1875,True
18,1,2375,True
18,1,1750,True
18,1,1208,True
18,1,833,True
18,1,791,True
18,1,833,True
18,1,1209,True
18,1,833,True
18,1,875,True
18,1,792,True
18,1,1833,True
18,1,1083,True
18,1,3417,True
18,1,4458,True
18,1,1333,True
18,1,1084,True
18,1,3667,True
18,1,1209,True
18,1,959,True
18,1,1000,True
18,1,833,True
18,1,2583,True
18,1,1041,True
18,1,917,True
18,0,682600834,True
18,0,680392292,True
18,1,2167,True
18,1,1833,True
18,0,683192792,True
18,1,3375,True
18,1,2750,True
18,1,1708,True
18,1,1208,True
18,1,2334,True
18,1,2958,True
18,1,2666,True
18,1,1542,True
18,1,959,True
18,1,3334,True
18,1,1750,True
18,1,1792,True
18,1,1125,True
18,1,1792,True
18,1,917,True
18,1,792,True
18,1,3584,True
18,1,1500,True
18,1,2542,True
18,1,2958,True
18,1,2708,True
18,1,2583,True
18,1,1291,True
18,1,3708,True
18,1,1333,True
18,1,2750,True
18,1,1750,True
18,1,1334,True
18,1,3083,True
18,1,2875,True
18,1,1875,True
18,1,1416,True
18,1,2458,True
18,1,1750,True
18,1,1209,True
18,1,1000,True
18,1,875,True
18,1,1792,True
18,1,1125,True
18,1,1417,True
18,1,1292,True
18,1,1167,True
18,1,1000,True
18,1,1250,True
18,1,1208,True
18,1,1250,True
18,1,1000,True
18,1,917,True
18,1,1416,True
18,1,1083,True
18,1,916,True
18,1,1208,True
18,1,1166,True
18,1,1084,True
18,1,958,True
18,1,1167,True
18,1,2333,True
18,1,1250,True
18,1,1084,True
18,1,833,True
18,1,833,True
18,1,1083,True
18,1,833,True
18,1,1083,True
18,1,833,True
18,1,1000,True
18,1,1875,True
18,1,1333,True
18,1,2417,True
18,1,1125,True
18,0,682763083,True
18,0,677521667,True
18,1,3875,True
18,1,3708,True
18,1,3417,True
18,1,2791,True
18,1,959,True
18,1,1875,True
18,1,3500,True
18,1,2416,True
18,1,2833,True
18,1,1167,True
18,1,1125,True
18,1,2666,True
18,1,1167,True
18,1,1417,True
18,1,959,True
18,1,792,True
18,1,1833,True
18,1,3125,True
18,1,2125,True
18,1,2708,True
18,1,1041,True
18,1,3375,True
18,1,2667,True
18,1,1208,True
18,1,1042,True
18,1,2250,True
18,1,1167,True
18,0,683331625,True
18,1,2292,True
18,0,683688208,True
18,1,3084,True
18,1,2833,True
18,1,1125,True
18,1,2916,True
18,0,698475791,True
18,1,3542,True
18,1,1167,True
18,1,3000,True
18,1,2292,True
18,1,2917,True
18,1,1167,True
18,1,1042,True
18,1,2708,True
18,1,1291,True
18,1,1709,True
18,1,958,True
18,1,2792,True
18,1,3959,True
18,1,2042,True
18,1,19000,True
18,1,3584,True
18,0,684530042,True
18,1,2125,True
18,1,3334,True
18,1,2834,True
18,1,2709,True
18,1,2708,True
18,1,1792,True
18,1,3792,True
18,1,2958,True
18,1,1125,True
18,1,917,True
18,1,2708,True
18,1,2084,True
18,1,2833,True
18,1,1291,True
18,1,1916,True
18,1,1542,True
18,1,2000,True
18,1,1083,True
18,1,875,True
18,1,1084,True
18,1,959,True
18,1,1542,True
18,1,2708,True
18,1,1167,True
18,1,2791,True
18,1,8959,True
18,1,1417,True
18,1,1000,True
18,1,2542,True
18,1,1083,True
18,1,1125,True
18,1,1750,True
18,1,1208,True
18,1,2917,True
18,1,1166,True
18,0,685256042,True
18,1,9125,True
18,1,1042,True
18,1,917,True
18,1,4375,True
18,1,1750,True
18,0,785400834,True
18,1,2042,True
18,1,1709,True
18,0,721040584,True
18,1,3792,True
18,1,2875,True
18,1,3292,True
18,1,1125,True
18,1,1875,True
18,1,3167,True
18,1,2875,True
18,1,4625,True
18,1,1333,True
18,1,1166,True
18,1,1000,True
18,1,1917,True
18,1,1291,True
18,1,3084,True
18,1,3667,True
18,1,1666,True
18,1,3208,True
18,1,1125,True
18,1,2750,True
18,1,1916,True
18,1,4833,True
18,1,1209,True
18,1,1208,True
18,1,1875,True
18,1,1167,True
18,1,3250,True
18,1,2917,True
18,1,1292,True
18,1,959,True
18,1,1583,True
18,1,3291,True
18,1,1209,True
18,1,1708,True
18,1,2875,True
18,1,917,True
18,1,875,True
18,1,1041,True
18,1,1292,True
18,1,3291,True
18,1,1250,True
18,1,958,True
18,1,2041,True
18,1,1583,True
18,1,4416,True
18,1,1208,True
18,1,916,True
18,0,729440125,True
18,1,3000,True
18,0,731015250,True
18,1,4542,True
18,1,1375,True
18,1,2083,True
18,0,685231750,True
18,1,2625,True
18,1,3791,True
18,1,2792,True
18,0,681823709,True
18,1,2417,True
18,1,2375,True
18,1,1583,True
18,1,1167,True
18,0,678206041,True
18,1,2666,True
18,1,1958,True
18,1,1167,True
18,1,1500,True
18,1,3292,True
18,1,1542,True
18,1,1083,True
18,1,1834,True
18,1,4000,True
18,1,3792,True
18,1,3125,True
18,1,1041,True
18,1,3333,True
18,1,1375,True
18,1,2041,True
18,1,1250,True
18,1,1792,True
18,1,1292,True
18,1,1250,True
18,1,1125,True
18,1,917,True
18,1,3125,True
18,1,2333,True
18,1,1416,True
18,1,2792,True
18,1,2458,True
18,1,1250,True
18,1,1166,True
18,1,916,True
18,1,2250,True
18,1,1666,True
18,1,1375,True
18,1,1250,True
18,1,1125,True
18,1,1166,True
18,1,1875,True
18,1,1375,True
18,1,1041,True
18,1,1166,True
18,1,1375,True
18,1,1084,True
18,1,917,True
18,1,875,True
18,1,1250,True
18,1,1125,True
18,1,1292,True
18,1,1333,True
18,1,1250,True
18,1,1292,True
18,1,1125,True
18,1,1000,True
18,1,1166,True
18,0,685616167,True
18,0,704401625,True
18,1,3042,True
18,1,4541,True
18,0,696089709,True
18,1,3250,True
18,1,1667,True
18,1,2958,True
18,1,1250,True
18,1,1125,True
18,1,917,True
18,1,875,True
18,0,698655459,True
18,1,2709,True
18,1,1167,True
18,1,1583,True
18,1,3209,True
18,1,3625,True
18,1,2709,True
18,1,1542,True
