nurses_no,hits,time,cache_enabled
26,0,1305951458,True
26,0,960573500,True
26,1,3083,True
26,1,3333,True
26,1,1833,True
26,0,781478375,True
26,1,3333,True
26,1,3292,True
26,1,9333,True
26,1,1291,True
26,1,959,True
26,1,2583,True
26,1,1125,True
26,1,875,True
26,1,791,True
26,1,792,True
26,1,1750,True
26,1,1375,True
26,1,1750,True
26,0,772070167,True
26,1,2417,True
26,1,1167,True
26,1,917,True
26,1,875,True
26,1,1750,True
26,1,916,True
26,1,1000,True
26,1,2709,True
26,1,1250,True
26,1,792,True
26,1,875,True
26,1,3958,True
26,1,1084,True
26,1,1042,True
26,1,1792,True
26,1,1208,True
26,1,958,True
26,1,834,True
26,1,792,True
26,1,1125,True
26,1,1084,True
26,1,4917,True
26,1,1167,True
26,1,833,True
26,1,1000,True
26,1,875,True
26,1,792,True
26,1,1833,True
26,1,875,True
26,1,792,True
26,1,1000,True
26,1,833,True
26,1,833,True
26,1,1375,True
26,1,1125,True
26,1,2042,True
26,1,1125,True
26,1,1458,True
26,0,776762417,True
26,0,778654459,True
26,1,2791,True
26,1,2750,True
26,1,1334,True
26,1,3959,True
26,0,842955042,True
26,1,2958,True
26,1,2417,True
26,1,1958,True
26,1,2500,True
26,1,1959,True
26,1,959,True
26,1,3459,True
26,0,755931375,True
26,0,786120500,True
26,1,2542,True
26,1,1875,True
26,1,1250,True
26,1,2416,True
26,1,1292,True
26,1,16542,True
26,1,2083,True
26,1,2875,True
26,1,4292,True
26,1,1416,True
26,1,2333,True
26,0,758741167,True
26,1,2334,True
26,1,3167,True
26,1,1125,True
26,1,1000,True
26,1,2083,True
26,1,1333,True
26,1,2375,True
26,1,1167,True
26,1,1125,True
26,1,1500,True
26,1,3208,True
26,1,2167,True
26,1,3541,True
26,1,2125,True
26,1,1166,True
26,1,1167,True
26,1,2375,True
26,1,1750,True
26,1,1292,True
26,1,833,True
26,1,875,True
26,1,1916,True
26,1,1333,True
26,1,2083,True
26,1,1125,True
26,1,1458,True
26,1,917,True
26,1,792,True
26,1,833,True
26,1,875,True
26,1,1042,True
26,1,750,True
26,1,3500,True
26,1,2084,True
26,0,768024125,True
26,0,760879166,True
26,0,766932334,True
26,1,2667,True
26,1,3417,True
26,1,2542,True
26,1,2667,True
26,1,3458,True
26,1,2333,True
26,1,1541,True
26,1,1625,True
26,1,916,True
26,1,1125,True
26,1,1750,True
26,1,1917,True
26,1,1917,True
26,1,2792,True
26,1,1333,True
26,1,3250,True
26,1,3250,True
26,1,1083,True
26,1,3500,True
26,1,3750,True
26,0,778177750,True
26,1,3042,True
26,1,1250,True
26,1,2583,True
26,0,771049000,True
26,1,2000,True
26,0,784805958,True
26,0,844839834,True
26,1,2083,True
26,1,1291,True
26,0,758880708,True
26,1,2916,True
26,1,1792,True
26,1,1083,True
26,1,4167,True
26,1,3667,True
26,1,958,True
26,1,833,True
26,1,708,True
26,1,917,True
26,1,1500,True
26,1,625,True
26,0,766422916,True
26,1,4500,True
26,0,776670458,True
26,0,758174125,True
26,1,3375,True
26,0,756317375,True
26,1,2375,True
26,1,2708,True
26,1,1000,True
26,1,3625,True
26,1,2792,True
26,1,1750,True
26,1,1083,True
26,1,2833,True
26,1,1125,True
26,1,875,True
26,1,3042,True
26,1,2292,True
26,1,3834,True
26,1,1166,True
26,1,2125,True
26,1,1041,True
26,1,1958,True
26,1,2917,True
