nurses_no,hits,time,cache_enabled
24,0,1002226125,True
24,1,4875,True
24,0,717055208,True
24,0,703799584,True
24,1,5041,True
24,1,2875,True
24,1,2750,True
24,0,748046542,True
24,1,3792,True
24,1,1958,True
24,1,1292,True
24,1,2333,True
24,1,2000,True
24,1,1208,True
24,1,917,True
24,1,1875,True
24,1,1042,True
24,1,875,True
24,1,958,True
24,1,834,True
24,1,875,True
24,1,1292,True
24,1,792,True
24,1,2708,True
24,1,1291,True
24,1,958,True
24,1,1833,True
24,1,1083,True
24,1,1250,True
24,1,1083,True
24,1,1209,True
24,1,958,True
24,1,959,True
24,1,2125,True
24,1,1125,True
24,1,1083,True
24,1,1000,True
24,1,3584,True
24,1,3416,True
24,1,2500,True
24,1,2667,True
24,1,2292,True
24,1,3709,True
24,1,1250,True
24,1,1292,True
24,1,1208,True
24,0,876580375,True
24,1,3167,True
24,0,690192208,True
24,1,2333,True
24,0,686675584,True
24,1,2334,True
24,1,2542,True
24,1,1333,True
24,0,688525416,True
24,0,710221375,True
24,1,3583,True
24,1,3916,True
24,1,2875,True
24,1,2000,True
24,1,3334,True
24,1,2584,True
24,1,2667,True
24,1,2375,True
24,1,1083,True
24,1,1875,True
24,1,1208,True
24,1,1542,True
24,1,1084,True
24,1,1583,True
24,1,959,True
24,1,875,True
24,1,1292,True
24,1,1625,True
24,1,1042,True
24,1,959,True
24,1,1834,True
24,1,1167,True
24,1,1000,True
24,1,1083,True
24,1,1125,True
24,1,958,True
24,1,875,True
24,1,709,True
24,1,1459,True
24,1,1500,True
24,1,1375,True
24,1,917,True
24,1,834,True
24,1,1375,True
24,1,958,True
24,1,791,True
24,1,916,True
24,1,1000,True
24,1,791,True
24,1,875,True
24,1,2375,True
24,1,1083,True
24,1,958,True
24,1,2041,True
24,1,1000,True
24,1,917,True
24,1,1125,True
24,1,1084,True
24,1,2166,True
24,1,1084,True
24,1,750,True
24,1,709,True
24,1,791,True
24,1,1625,True
24,1,1250,True
24,1,916,True
24,1,2042,True
24,1,1208,True
24,1,1333,True
24,1,917,True
24,1,3458,True
24,1,917,True
24,1,916,True
24,1,1584,True
24,1,1208,True
24,1,834,True
24,1,708,True
24,1,2583,True
24,1,1750,True
24,1,1333,True
24,1,1209,True
24,1,1541,True
24,1,1083,True
24,1,1042,True
24,1,1125,True
24,1,1958,True
24,1,1041,True
24,1,875,True
24,1,1250,True
24,1,1042,True
24,1,917,True
24,0,694751792,True
24,1,2959,True
24,0,700798083,True
24,0,837455583,True
24,1,4458,True
24,0,696839167,True
24,0,735447125,True
24,0,710173750,True
24,0,690389916,True
24,1,2833,True
24,0,700562333,True
24,1,3833,True
24,1,3250,True
24,1,3041,True
24,1,2958,True
24,0,699509666,True
24,0,707922791,True
24,1,2834,True
24,1,2292,True
24,1,3125,True
24,1,2875,True
24,1,1209,True
24,1,1708,True
24,1,1084,True
24,1,2708,True
24,1,2208,True
24,1,1416,True
24,1,3167,True
24,1,3667,True
24,1,2584,True
24,1,1167,True
24,1,2083,True
24,1,3584,True
24,1,2000,True
24,1,2333,True
24,1,1500,True
24,1,2666,True
24,1,1250,True
24,1,3125,True
24,1,1208,True
24,1,1833,True
24,1,1042,True
24,1,1000,True
24,1,833,True
