nurses_no,hits,time,cache_enabled
22,0,1237544208,True
22,0,744592542,True
22,0,700649167,True
22,1,4167,True
22,0,724489708,True
22,1,4583,True
22,0,707026375,True
22,0,702594500,True
22,1,2292,True
22,1,1959,True
22,1,1166,True
22,1,2500,True
22,1,3459,True
22,1,1125,True
22,1,1167,True
22,1,2333,True
22,1,1291,True
22,1,917,True
22,1,3291,True
22,1,1542,True
22,0,696353333,True
22,0,689045333,True
22,0,690210291,True
22,1,3708,True
22,1,3792,True
22,1,1459,True
22,0,689528834,True
22,1,2667,True
22,1,1333,True
22,1,3250,True
22,1,1334,True
22,1,2542,True
22,1,1958,True
22,0,687057125,True
22,0,701663917,True
22,1,3417,True
22,1,2709,True
22,1,1209,True
22,1,1042,True
22,1,3875,True
22,1,958,True
22,1,3167,True
22,1,1250,True
22,1,2250,True
22,1,1208,True
22,1,1125,True
22,1,1125,True
22,1,2458,True
22,1,1166,True
22,1,2792,True
22,1,1291,True
22,1,1084,True
22,1,1042,True
22,1,1625,True
22,1,1333,True
22,1,5625,True
22,1,2209,True
22,1,1875,True
22,1,1958,True
22,1,1958,True
22,0,691893959,True
22,1,5000,True
22,0,693517500,True
22,1,10125,True
22,0,693326959,True
22,1,2041,True
22,1,3042,True
22,1,3458,True
22,1,1875,True
22,1,2958,True
22,1,1042,True
22,0,685821833,True
22,1,2000,True
22,1,1333,True
22,1,1917,True
22,1,3541,True
22,1,1208,True
22,0,694922375,True
22,1,3625,True
22,1,2500,True
22,1,1500,True
22,1,1500,True
22,1,1875,True
22,1,1583,True
22,1,1792,True
22,1,3000,True
22,1,1333,True
22,1,1042,True
22,1,875,True
22,1,1958,True
22,1,1875,True
22,1,1000,True
22,1,1416,True
22,1,1458,True
22,1,1833,True
22,1,2000,True
22,1,1250,True
22,1,1084,True
22,1,2625,True
22,1,1666,True
22,1,2125,True
22,1,959,True
22,1,1167,True
22,1,959,True
22,1,1500,True
22,1,2708,True
22,1,2667,True
22,1,1834,True
22,1,2583,True
