nurses_no,hits,time,cache_enabled
17,0,1499463334,True
17,1,5917,True
17,0,883102542,True
17,0,776567875,True
17,1,3125,True
17,0,785312417,True
17,1,3542,True
17,1,2500,True
17,1,2750,True
17,1,1459,True
17,1,1791,True
17,0,783804250,True
17,1,2208,True
17,1,2500,True
17,1,2250,True
17,1,1292,True
17,0,787276958,True
17,1,2083,True
17,0,791474792,True
17,1,2500,True
17,1,1500,True
17,1,3375,True
17,1,1167,True
17,1,3750,True
17,0,1067675916,True
17,1,2750,True
17,1,1125,True
17,1,2375,True
17,1,1166,True
17,1,916,True
17,1,792,True
17,1,1667,True
17,1,1250,True
17,1,917,True
17,1,1000,True
17,1,875,True
17,1,2458,True
17,1,1459,True
17,1,1292,True
17,1,2458,True
17,0,772473334,True
17,1,2666,True
17,1,1542,True
17,1,2167,True
17,1,917,True
17,1,875,True
17,1,917,True
17,1,833,True
17,1,1958,True
17,1,2000,True
17,1,3709,True
17,1,1875,True
17,1,3125,True
17,0,770744667,True
17,0,833938042,True
17,0,779788333,True
17,1,3333,True
17,0,772331666,True
17,1,2750,True
17,1,2709,True
17,1,1209,True
17,1,833,True
17,1,2917,True
17,1,1417,True
17,1,1916,True
17,1,2250,True
17,1,1208,True
17,1,3500,True
17,1,2834,True
17,1,2667,True
17,1,2583,True
17,1,1958,True
17,1,1666,True
17,1,1084,True
17,1,833,True
17,1,3291,True
17,1,1167,True
17,0,784995958,True
17,1,3458,True
17,1,1834,True
17,1,1291,True
17,1,1667,True
17,1,1166,True
17,0,771544000,True
17,1,2167,True
17,1,1625,True
17,1,2500,True
17,1,1042,True
17,1,833,True
17,1,2000,True
17,1,1166,True
17,1,1667,True
17,1,1208,True
17,1,1000,True
17,1,958,True
17,1,1083,True
17,1,3000,True
17,1,1375,True
17,1,1208,True
17,1,1125,True
17,1,2375,True
17,1,1416,True
17,1,1042,True
17,1,1417,True
17,1,1166,True
17,1,875,True
17,1,1625,True
17,1,1125,True
17,1,1167,True
17,1,1041,True
17,1,1500,True
17,1,1166,True
17,1,1167,True
17,1,1167,True
17,1,958,True
17,1,1250,True
17,1,1125,True
17,1,1042,True
17,1,1875,True
17,1,1166,True
17,1,959,True
17,1,1583,True
17,1,1375,True
17,1,2333,True
17,1,1542,True
17,1,1000,True
17,1,875,True
17,1,1292,True
17,1,1042,True
17,1,2792,True
17,1,2625,True
17,1,2125,True
17,1,1834,True
17,1,1417,True
17,1,1083,True
17,1,1167,True
17,1,1334,True
17,1,1334,True
17,1,8500,True
17,1,1250,True
17,0,789023834,True
17,1,3041,True
17,1,1125,True
17,0,772997458,True
17,0,771558917,True
17,1,4375,True
17,1,4542,True
17,1,959,True
17,1,3250,True
17,1,1291,True
17,1,2708,True
17,1,958,True
17,1,792,True
17,1,3542,True
17,1,9958,True
17,1,3708,True
17,1,1042,True
17,1,3125,True
17,1,3959,True
17,1,2750,True
17,0,778504750,True
17,1,2708,True
17,1,2750,True
17,1,2958,True
17,1,2500,True
17,1,2333,True
17,0,781199375,True
17,1,2167,True
17,1,3292,True
17,1,1834,True
17,1,2834,True
17,1,1292,True
17,1,3083,True
17,1,3334,True
17,1,2209,True
17,1,958,True
17,1,959,True
17,1,2708,True
17,0,764407459,True
17,1,2375,True
17,0,799498458,True
17,0,781001208,True
17,1,2000,True
17,1,3583,True
17,0,784211708,True
17,1,3625,True
17,1,1167,True
17,1,4541,True
17,1,1208,True
17,1,1459,True
17,1,5666,True
17,1,1250,True
17,1,1209,True
17,1,2708,True
17,1,3791,True
17,1,1375,True
17,1,1375,True
17,1,2625,True
17,1,1000,True
17,1,917,True
17,1,2916,True
17,1,2292,True
17,1,1583,True
17,1,1875,True
17,1,2375,True
17,1,2625,True
17,1,1041,True
17,1,2875,True
17,0,784943791,True
17,1,2750,True
17,0,779181000,True
17,1,2125,True
17,1,1084,True
17,0,781009167,True
17,1,2625,True
17,1,1667,True
17,1,1083,True
17,1,8917,True
17,1,1333,True
17,1,1167,True
17,1,834,True
17,1,833,True
17,1,1750,True
17,1,1333,True
17,1,1041,True
