nurses_no,hits,time,cache_enabled
5,0,1193380416,False
5,0,834846542,False
5,0,801794500,False
5,0,810516417,False
5,0,785539792,False
5,0,780109250,False
5,0,793074750,False
5,0,793055125,False
5,0,791702375,False
5,0,793465541,False
5,0,792844416,False
5,0,798650875,False
5,0,779188834,False
5,0,782291167,False
5,0,779188625,False
5,0,776555833,False
5,0,778276791,False
5,0,847752417,False
5,0,783447250,False
5,0,788591125,False
5,0,776712625,False
5,0,779026084,False
5,0,781464083,False
5,0,781583041,False
5,0,779262417,False
5,0,780030250,False
5,0,781622542,False
5,0,784387167,False
5,0,780893292,False
5,0,795227459,False
5,0,778498125,False
5,0,783629792,False
5,0,780920916,False
5,0,778582458,False
5,0,779701458,False
5,0,781322000,False
5,0,784561250,False
5,0,776153375,False
5,0,784673125,False
5,0,779216666,False
5,0,783524042,False
5,0,777939791,False
5,0,776596834,False
5,0,777675459,False
5,0,779413958,False
5,0,781735167,False
5,0,776991500,False
5,0,806568167,False
5,0,792633458,False
5,0,943012709,False
5,0,883836083,False
5,0,794183208,False
5,0,800854750,False
5,0,825755000,False
5,0,789473959,False
5,0,784198625,False
5,0,792582000,False
5,0,777898834,False
5,0,811706666,False
5,0,797942416,False
5,0,771769667,False
5,0,776803750,False
5,0,776767833,False
5,0,776904250,False
5,0,776305584,False
5,0,774270042,False
5,0,771671666,False
5,0,808402708,False
5,0,817609000,False
5,0,776049416,False
5,0,781683000,False
5,0,797815792,False
5,0,808483166,False
5,0,772874375,False
5,0,773026291,False
5,0,775423375,False
5,0,796867458,False
5,0,820949541,False
5,0,805875208,False
5,0,802568375,False
5,0,771592833,False
5,0,782132958,False
5,0,797436416,False
5,0,774470375,False
5,0,789479917,False
5,0,772212500,False
5,0,807701083,False
5,0,774193209,False
5,0,774022458,False
5,0,772386250,False
5,0,771137250,False
5,0,772831292,False
5,0,775965166,False
5,0,782402500,False
5,0,778395667,False
5,0,768947333,False
5,0,769899250,False
5,0,786396084,False
5,0,813419542,False
5,0,791100375,False
5,0,774607417,False
5,0,791242750,False
5,0,1487175792,False
5,0,843972125,False
5,0,833068667,False
5,0,777826250,False
5,0,779505958,False
5,0,790639750,False
5,0,776327792,False
5,0,793277000,False
5,0,804840375,False
5,0,825992458,False
5,0,777021583,False
5,0,794810375,False
5,0,825677917,False
5,0,832204875,False
5,0,794270042,False
5,0,783876667,False
5,0,788252333,False
5,0,781736708,False
5,0,805161875,False
5,0,795753334,False
5,0,795442041,False
5,0,821065667,False
5,0,788051333,False
5,0,784974625,False
5,0,791765458,False
5,0,816234708,False
5,0,789053333,False
5,0,797750334,False
5,0,848962625,False
5,0,783151917,False
5,0,820940041,False
5,0,855528291,False
5,0,799444417,False
5,0,807029541,False
5,0,839868666,False
5,0,789749500,False
5,0,824336083,False
5,0,788674625,False
5,0,784492833,False
5,0,785120292,False
5,0,807087125,False
5,0,785616917,False
5,0,774107667,False
5,0,789042500,False
5,0,778376083,False
5,0,796850459,False
5,0,784135250,False
5,0,784704416,False
5,0,859367000,False
5,0,778612500,False
5,0,786731875,False
5,0,787462458,False
5,0,832538875,False
5,0,786615708,False
5,0,796432041,False
5,0,783159375,False
5,0,802470083,False
5,0,782775125,False
5,0,797047041,False
5,0,776822459,False
5,0,776426667,False
5,0,797399958,False
5,0,790923291,False
5,0,835291208,False
5,0,810441000,False
5,0,800172333,False
5,0,786669709,False
5,0,791767166,False
5,0,781845417,False
5,0,785227625,False
5,0,808917708,False
5,0,798270959,False
5,0,796059375,False
5,0,791029084,False
5,0,787604500,False
5,0,791750333,False
5,0,801378541,False
5,0,779570250,False
5,0,780242250,False
5,0,812517958,False
5,0,814020917,False
5,0,782625000,False
5,0,797446792,False
5,0,861999792,False
5,0,825426292,False
5,0,852447958,False
5,0,818677083,False
5,0,816255208,False
5,0,824751708,False
5,0,792463333,False
5,0,794490541,False
5,0,784498708,False
5,0,808119083,False
5,0,822421166,False
5,0,794348583,False
5,0,787989292,False
5,0,817914917,False
5,0,808611458,False
5,0,1131737833,False
5,0,788569125,False
5,0,847061417,False
5,0,777013792,False
5,0,813218625,False
5,0,772460208,False
5,0,772347292,False
