nurses_no,hits,time,cache_enabled
8,0,1111369417,False
8,0,801740333,False
8,0,784861875,False
8,0,780579084,False
8,0,796845541,False
8,0,777434792,False
8,0,782722250,False
8,0,796614583,False
8,0,800009000,False
8,0,804606750,False
8,0,799107291,False
8,0,799881959,False
8,0,795624917,False
8,0,796505833,False
8,0,793972667,False
8,0,805014666,False
8,0,800229167,False
8,0,797721792,False
8,0,797659500,False
8,0,812996000,False
8,0,840899250,False
8,0,792553625,False
8,0,782516666,False
8,0,800727292,False
8,0,800592333,False
8,0,853514916,False
8,0,778593500,False
8,0,780445708,False
8,0,795889791,False
8,0,778304500,False
8,0,815891625,False
8,0,791274083,False
8,0,777421208,False
8,0,790847167,False
8,0,780860208,False
8,0,796363583,False
8,0,779029541,False
8,0,776149750,False
8,0,776483666,False
8,0,795334208,False
8,0,806766583,False
8,0,781551166,False
8,0,781542750,False
8,0,788702125,False
8,0,773778125,False
8,0,771379500,False
8,0,768520500,False
8,0,778261625,False
8,0,775557958,False
8,0,797739667,False
8,0,774600667,False
8,0,775514750,False
8,0,773480208,False
8,0,778118500,False
8,0,788822083,False
8,0,841707583,False
8,0,804770209,False
8,0,801914875,False
8,0,843402541,False
8,0,855076958,False
8,0,797473541,False
8,0,815319792,False
8,0,895218334,False
8,0,792999584,False
8,0,772790208,False
8,0,799895625,False
8,0,784999041,False
8,0,777035375,False
8,0,783817917,False
8,0,858085583,False
8,0,778956084,False
8,0,838835500,False
8,0,776960833,False
8,0,838615625,False
8,0,778023750,False
8,0,769957667,False
8,0,772571875,False
8,0,795173625,False
8,0,798512334,False
8,0,780507833,False
8,0,766561375,False
8,0,766450500,False
8,0,770786750,False
8,0,775444125,False
8,0,772812916,False
8,0,766899125,False
8,0,772917458,False
8,0,789599833,False
8,0,763949916,False
8,0,790018625,False
8,0,799847250,False
8,0,797732125,False
8,0,786897250,False
8,0,860924667,False
8,0,802345541,False
8,0,776171417,False
8,0,765377542,False
8,0,763868416,False
8,0,763892250,False
8,0,766746416,False
8,0,760865833,False
8,0,759294334,False
8,0,758283250,False
8,0,782000875,False
8,0,759155875,False
8,0,776566666,False
8,0,766115834,False
8,0,760602000,False
8,0,758052625,False
8,0,767377000,False
8,0,761828375,False
8,0,799699500,False
8,0,761399584,False
8,0,762365250,False
8,0,757491000,False
8,0,783399042,False
8,0,777674709,False
8,0,761836792,False
8,0,767267500,False
8,0,766977750,False
8,0,866905167,False
8,0,762582334,False
8,0,756797708,False
8,0,761509334,False
8,0,761027875,False
8,0,760597666,False
8,0,765135584,False
8,0,762880416,False
8,0,760655750,False
8,0,766523084,False
8,0,758618250,False
8,0,819188708,False
8,0,785151875,False
8,0,762598167,False
8,0,753939375,False
8,0,759112250,False
8,0,792014708,False
8,0,786914125,False
8,0,759559042,False
8,0,784603209,False
8,0,759908625,False
8,0,756856667,False
8,0,771105416,False
8,0,764346333,False
8,0,757632167,False
8,0,794479541,False
8,0,758466583,False
8,0,763541959,False
8,0,759165417,False
8,0,760737792,False
8,0,761088583,False
