nurses_no,hits,time,cache_enabled
7,0,1021267917,False
7,0,743317416,False
7,0,715142709,False
7,0,740568084,False
7,0,722965750,False
7,0,741284333,False
7,0,749497916,False
7,0,701034167,False
7,0,702862583,False
7,0,701279125,False
7,0,716540208,False
7,0,711796583,False
7,0,735551000,False
7,0,709408625,False
7,0,733573084,False
7,0,702781959,False
7,0,699193958,False
7,0,699755916,False
7,0,700737958,False
7,0,698687875,False
7,0,700911333,False
7,0,699490875,False
7,0,697629750,False
7,0,709713000,False
7,0,731643750,False
7,0,699146125,False
7,0,703210667,False
7,0,695563791,False
7,0,718126875,False
7,0,705212167,False
7,0,700370792,False
7,0,697964042,False
7,0,700112791,False
7,0,701278250,False
7,0,700645209,False
7,0,698136333,False
7,0,700829959,False
7,0,704849875,False
7,0,700736000,False
7,0,695356834,False
7,0,704808875,False
7,0,714384042,False
7,0,697196791,False
7,0,710361417,False
7,0,705462333,False
7,0,705869542,False
7,0,711101875,False
7,0,733600208,False
7,0,742918375,False
7,0,791456666,False
7,0,731028625,False
7,0,1139177167,False
7,0,780338042,False
7,0,703089792,False
7,0,2609091166,False
7,0,2372544833,False
7,0,748911292,False
7,0,760810000,False
7,0,697247000,False
7,0,3016887708,False
7,0,1604369334,False
7,0,1383000666,False
7,0,1509861000,False
7,0,714235792,False
7,0,696886042,False
7,0,698261250,False
7,0,3717526125,False
7,0,759332709,False
7,0,879864125,False
7,0,710623000,False
7,0,1661645750,False
7,0,1122685209,False
7,0,1075346166,False
7,0,690717167,False
7,0,691979708,False
7,0,728345750,False
7,0,1572023375,False
7,0,718508625,False
7,0,701155166,False
7,0,709562084,False
7,0,698469167,False
7,0,722413041,False
7,0,776213750,False
7,0,693399042,False
7,0,695031500,False
7,0,693417084,False
7,0,695178709,False
7,0,692230542,False
7,0,712132208,False
7,0,699673208,False
7,0,700520666,False
7,0,698124583,False
7,0,699094250,False
7,0,727477042,False
7,0,739598584,False
7,0,729309542,False
7,0,752402334,False
7,0,753002958,False
7,0,779270625,False
7,0,754354000,False
7,0,807698333,False
7,0,743338291,False
7,0,705203625,False
7,0,701490792,False
7,0,715372041,False
7,0,721986250,False
7,0,745121042,False
7,0,715644459,False
7,0,730023333,False
7,0,859114959,False
7,0,697325041,False
7,0,703821417,False
7,0,705440542,False
7,0,710216042,False
7,0,777978875,False
7,0,744735750,False
7,0,885264250,False
7,0,712407208,False
7,0,716447875,False
7,0,775723541,False
7,0,829411250,False
7,0,727450209,False
7,0,711857375,False
7,0,770609875,False
7,0,1035822125,False
7,0,764391458,False
7,0,717705084,False
7,0,709383792,False
7,0,761581750,False
7,0,712247208,False
7,0,758271917,False
7,0,697801917,False
7,0,699722875,False
7,0,744800334,False
7,0,697326042,False
7,0,699429458,False
7,0,708149333,False
7,0,696943000,False
7,0,722100875,False
7,0,723218542,False
7,0,736845250,False
7,0,716592375,False
7,0,693808500,False
7,0,725539375,False
7,0,699207417,False
7,0,710527875,False
7,0,717664417,False
7,0,706543875,False
7,0,864528667,False
7,0,715926959,False
7,0,735091750,False
7,0,786814333,False
7,0,1011542125,False
7,0,708417625,False
7,0,809768000,False
7,0,711210709,False
7,0,915753042,False
7,0,847406417,False
7,0,788709083,False
7,0,734248917,False
7,0,1075216000,False
7,0,855117000,False
7,0,781878625,False
7,0,833876584,False
7,0,737847084,False
7,0,771503083,False
7,0,711908417,False
7,0,864664584,False
7,0,739354833,False
7,0,827120375,False
7,0,1037420459,False
7,0,784127000,False
7,0,884927958,False
7,0,954258291,False
7,0,749826458,False
7,0,884584458,False
7,0,774335292,False
7,0,856688208,False
7,0,872725791,False
7,0,821744667,False
7,0,759287791,False
7,0,742213041,False
7,0,779632542,False
7,0,709005917,False
7,0,739094958,False
7,0,707621291,False
7,0,720623000,False
7,0,807762875,False
7,0,729672958,False
7,0,703635417,False
7,0,878264792,False
7,0,844870375,False
7,0,696968041,False
7,0,781233167,False
7,0,695114291,False
7,0,696418958,False
7,0,762528791,False
7,0,740672042,False
7,0,713417167,False
7,0,692536167,False
7,0,716634791,False
7,0,704882042,False
7,0,701604792,False
7,0,714818500,False
7,0,729920083,False
7,0,704065542,False
7,0,810210833,False
7,0,698905667,False
7,0,697442750,False
7,0,726314625,False
7,0,712008167,False
7,0,729853750,False
7,0,732933083,False
7,0,758407042,False
7,0,713591792,False
7,0,729134916,False
7,0,705304833,False
7,0,719586917,False
7,0,707789333,False
7,0,854942875,False
7,0,863495875,False
7,0,842416208,False
7,0,876438000,False
7,0,709853667,False
7,0,751575916,False
7,0,701968083,False
7,0,704580042,False
7,0,739387292,False
7,0,720381375,False
7,0,741560750,False
7,0,748030250,False
7,0,766203625,False
7,0,943149958,False
7,0,701586750,False
7,0,702863500,False
7,0,912255708,False
7,0,804246208,False
7,0,726697750,False
7,0,722512459,False
7,0,717988334,False
7,0,692570542,False
7,0,692458541,False
7,0,690926333,False
7,0,737193916,False
7,0,691996042,False
7,0,710380667,False
7,0,697088667,False
7,0,721720458,False
7,0,808532583,False
7,0,776811167,False
7,0,712090375,False
7,0,693620667,False
