nurses_no,hits,time,cache_enabled
20,0,1204037750,False
20,0,848035291,False
20,0,828433000,False
20,0,797714625,False
20,0,815847958,False
20,0,840122708,False
20,0,792244666,False
20,0,788085333,False
20,0,794611083,False
20,0,841594583,False
20,0,788130250,False
20,0,788611500,False
20,0,807938208,False
20,0,787535375,False
20,0,809830833,False
20,0,785981625,False
20,0,786705500,False
20,0,787166500,False
20,0,788001917,False
20,0,788997458,False
20,0,791087000,False
20,0,793843750,False
20,0,790810458,False
20,0,786777375,False
20,0,788194875,False
20,0,788398583,False
20,0,786910083,False
20,0,792983667,False
20,0,793460834,False
20,0,787315667,False
20,0,810078250,False
20,0,785512542,False
20,0,838642209,False
20,0,825552250,False
20,0,825851125,False
20,0,784208042,False
20,0,1342925125,False
20,0,1375271583,False
20,0,931767083,False
20,0,821604708,False
20,0,1772540125,False
20,0,1713607209,False
20,0,1166676625,False
20,0,1303874834,False
20,0,1660941542,False
20,0,794400041,False
20,0,789455000,False
20,0,785516042,False
20,0,2495243583,False
20,0,816235834,False
20,0,807099166,False
20,0,787796000,False
20,0,782006000,False
20,0,783823917,False
20,0,3914118667,False
20,0,783373375,False
20,0,783821083,False
20,0,2497816125,False
20,0,781857459,False
20,0,802010250,False
20,0,1011210000,False
20,0,815676042,False
20,0,791421084,False
20,0,1870702375,False
20,0,784004833,False
20,0,1258255875,False
20,0,1123747042,False
20,0,967161709,False
20,0,1155669958,False
20,0,1198336125,False
20,0,811107584,False
20,0,803093542,False
20,0,1119826958,False
20,0,1062783083,False
20,0,796468917,False
20,0,1295985625,False
20,0,894565292,False
20,0,819641334,False
20,0,3774041542,False
20,0,1339026292,False
20,0,2131764667,False
20,0,1478383917,False
20,0,835421250,False
20,0,796814542,False
20,0,784708791,False
20,0,992496833,False
20,0,831565458,False
20,0,804068792,False
20,0,809248666,False
20,0,803298792,False
20,0,801797584,False
20,0,830547542,False
20,0,790126666,False
20,0,823405250,False
20,0,790244584,False
20,0,784614833,False
20,0,809126333,False
20,0,825358458,False
20,0,784293166,False
20,0,803014416,False
20,0,794295709,False
20,0,794735833,False
20,0,786123834,False
20,0,783803334,False
20,0,805448083,False
20,0,783836875,False
20,0,782946250,False
20,0,871009958,False
20,0,808858958,False
20,0,797052625,False
20,0,899874375,False
20,0,807643125,False
20,0,813876667,False
20,0,800065833,False
20,0,879336084,False
20,0,850550917,False
20,0,835998333,False
20,0,793906666,False
20,0,804293375,False
20,0,785249417,False
20,0,848549625,False
20,0,809818709,False
20,0,861806375,False
20,0,1001718792,False
20,0,896970125,False
20,0,792452084,False
20,0,859297375,False
20,0,803809334,False
20,0,1007615958,False
20,0,917362750,False
20,0,910780916,False
20,0,865301625,False
20,0,864137458,False
20,0,888047500,False
20,0,1027084541,False
20,0,838040208,False
20,0,847850917,False
20,0,862244542,False
20,0,916118333,False
20,0,791693000,False
20,0,834513583,False
20,0,854152625,False
20,0,783955542,False
20,0,791626750,False
20,0,934174125,False
20,0,1033156416,False
20,0,843334625,False
20,0,794973125,False
20,0,887467750,False
20,0,799219500,False
20,0,802600750,False
20,0,795221834,False
20,0,800597208,False
20,0,788777625,False
20,0,803112750,False
20,0,793638750,False
20,0,828784000,False
20,0,796203416,False
20,0,793602667,False
20,0,818811417,False
20,0,845568041,False
20,0,818723083,False
20,0,921342375,False
20,0,926987333,False
20,0,799302458,False
20,0,789119125,False
20,0,785501042,False
20,0,792214708,False
20,0,796912750,False
20,0,797708792,False
20,0,799106459,False
20,0,821925458,False
20,0,821045375,False
20,0,797709709,False
20,0,786194292,False
20,0,782879833,False
20,0,810035875,False
20,0,783224542,False
20,0,793837709,False
20,0,878180375,False
20,0,793603166,False
20,0,783874333,False
20,0,788486875,False
20,0,788608166,False
20,0,783039166,False
20,0,784650417,False
20,0,785803959,False
20,0,789327375,False
20,0,792492417,False
20,0,783045625,False
20,0,813993833,False
20,0,783226042,False
20,0,780646458,False
20,0,808273833,False
20,0,783401334,False
20,0,779613750,False
20,0,781425541,False
20,0,786187583,False
20,0,802016334,False
20,0,790582500,False
20,0,782420541,False
20,0,783193667,False
20,0,781519000,False
20,0,801756916,False
20,0,791689417,False
20,0,782514833,False
20,0,881046625,False
20,0,786576042,False
20,0,799531125,False
20,0,796056625,False
20,0,802972750,False
20,0,800883000,False
20,0,900041000,False
20,0,848841333,False
20,0,807449542,False
20,0,803461958,False
20,0,804064917,False
20,0,802774625,False
20,0,847638792,False
20,0,816196625,False
20,0,831424417,False
20,0,800876250,False
20,0,798869208,False
20,0,791593875,False
20,0,823350166,False
20,0,853129833,False
20,0,826324250,False
20,0,829213042,False
20,0,833324542,False
20,0,800301958,False
20,0,795793833,False
20,0,843121208,False
20,0,845474875,False
20,0,807988750,False
20,0,788256125,False
20,0,788146500,False
20,0,803106542,False
20,0,788231083,False
20,0,787950083,False
20,0,787842875,False
20,0,827499958,False
20,0,798967375,False
20,0,785196000,False
20,0,795660167,False
20,0,790764708,False
20,0,794610791,False
20,0,822632666,False
20,0,796547708,False
20,0,804089000,False
20,0,807024333,False
20,0,893315542,False
20,0,899547417,False
20,0,796657750,False
20,0,825502416,False
20,0,843743416,False
20,0,814561125,False
20,0,809566916,False
20,0,795748667,False
20,0,797091250,False
20,0,808355125,False
20,0,810257458,False
20,0,803892292,False
20,0,826730541,False
20,0,830209833,False
20,0,813980125,False
20,0,809757500,False
20,0,815728041,False
20,0,833174542,False
20,0,821688459,False
20,0,840564291,False
20,0,830446542,False
20,0,834917375,False
20,0,854207292,False
20,0,811480458,False
20,0,818080166,False
20,0,821465542,False
20,0,826364958,False
20,0,837934917,False
20,0,828100500,False
20,0,847586125,False
20,0,818641458,False
20,0,825644208,False
