nurses_no,hits,time,cache_enabled
4,0,1086655500,False
4,0,766252667,False
4,0,729332750,False
4,0,701841833,False
4,0,723787667,False
4,0,697171958,False
4,0,716593333,False
4,0,828709917,False
4,0,706480625,False
4,0,714470750,False
4,0,714763250,False
4,0,750215916,False
4,0,697905166,False
4,0,719129791,False
4,0,699923416,False
4,0,702140667,False
4,0,701125167,False
4,0,817237541,False
4,0,937154500,False
4,0,784469000,False
4,0,780194291,False
4,0,748168083,False
4,0,708516417,False
4,0,698169625,False
4,0,717558916,False
4,0,729269209,False
4,0,713279334,False
4,0,748547000,False
4,0,715404667,False
4,0,714523583,False
4,0,731077125,False
4,0,709843083,False
4,0,726916750,False
4,0,733399500,False
4,0,728241500,False
4,0,814161000,False
4,0,812450083,False
4,0,810102792,False
4,0,741341333,False
4,0,726159333,False
4,0,709607792,False
4,0,752560958,False
4,0,707832375,False
4,0,699134875,False
4,0,696894250,False
4,0,722899459,False
4,0,717955791,False
