"configuration","problem","model","data_file","status","time","flatBoolVars","flatIntConstraints","initTime","eliminatedImplications","evaluatedHalfReifiedConstraints","solutions","restarts","variables","peakDepth","propagations","flatBoolConstraints","method","run","objective","paths","flatIntVars","failures","nSolutions","nodes","propagators","solveTime","flatTime"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta45_2a_alloc3.dzn","OPTIMAL_SOLUTION","9.074661271646619","19908","23575","0.277554","1260","21138","78","0","22375","600","23001700","10560","minimize","results","-30646","0","2466","4422","78","29278","32874","6.68196","1.66532"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta52_3a_alloc2.dzn","OPTIMAL_SOLUTION","37.142542630434036","39957","44565","0.586221","1600","41507","134","0","43067","743","112180025","20725","minimize","results","-12057","0","3110","9489","134","63617","63689","32.0324","3.50134"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta74_7a_alloc1.dzn","SATISFIED","605.8148259539157","206574","218829","","4200","210674","","","","","","105200","minimize","results","1861","0","8254","","37","","","","15.9708"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta51_4a_alloc1.dzn","OPTIMAL_SOLUTION","35.79343231022358","39956","44565","0.573138","1600","41506","159","0","43065","750","93877896","20725","minimize","results","-37918","0","3108","10767","159","70013","63689","31.0106","3.38357"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta80_9a_alloc1.dzn","OPTIMAL_SOLUTION","296.95542762055993","206571","218785","2.98057","4200","210671","136","0","214793","1409","390183484","105200","minimize","results","-10611","0","8222","17547","136","114237","319784","273.173","15.9164"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta68_5a_alloc3.dzn","OPTIMAL_SOLUTION","332.99664581380785","53217","59327","0.813895","2100","55267","186","0","57327","1000","1989608193","27600","minimize","results","-49903","0","4109","113068","186","300664","84826","325.947","4.89241"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta79_7a_alloc1.dzn","SATISFIED","605.5800711829215","206560","218772","","4200","210660","","","","","","105200","minimize","results","-66601","0","8211","","227","","","","16.0634"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta49_2a_alloc2.dzn","SATISFIED","600.7797773722559","19906","23573","0.268948","1260","21136","37","0","22373","392","4339469476","10560","minimize","results","-9321","0","2467","663374","37","1333235","32872","598.154","1.84539"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta66_5a_alloc2.dzn","SATISFIED","602.0539357848465","53217","59326","0.713222","2100","55267","24","0","57326","325","3875024792","27600","minimize","results","460","0","4108","276805","24","558684","84825","595.822","4.186969"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta72_7a_alloc3.dzn","SATISFIED","606.8629992697388","206561","218773","","4200","210661","","","","","","105200","minimize","results","-9591","0","8211","","32","","","","16.9792"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta80_10a_alloc1.dzn","SATISFIED","606.0046314820647","206561","218776","","4200","210661","","","","","","105200","minimize","results","-1102","0","8215","","11","","","","16.2467"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta78_7a_alloc1.dzn","SATISFIED","605.4766791518778","206560","218772","","4200","210660","","","","","","105200","minimize","results","-5688","0","8211","","4","","","","16.130299"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta54_5a_alloc1.dzn","OPTIMAL_SOLUTION","172.15241946838796","39955","44565","0.572576","1600","41505","212","0","43065","750","993796206","20725","minimize","results","-36991","0","3109","98551","212","268955","63689","167.478","3.18994"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta76_5a_alloc3.dzn","SATISFIED","606.415107589215","206558","218790","","4200","210658","","","","","","105200","minimize","results","-70836","0","8231","","295","","","","18.8631"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta80_5a_alloc2.dzn","SATISFIED","606.34551782161","206583","218814","","4200","210683","","","","","","105200","minimize","results","351","0","8230","","14","","","","15.9858"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta74_5a_alloc3.dzn","OPTIMAL_SOLUTION","562.2221135981381","206560","218770","2.94772","4200","210660","202","0","214774","1667","888072525","105200","minimize","results","-19529","0","8214","30649","202","201478","319769","538.533","15.7441"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta65_3a_alloc3.dzn","SATISFIED","602.024972461164","53218","59326","0.720014","2100","55268","25","0","57326","299","2757228399","27600","minimize","results","-6083","0","4108","328593","25","660125","84825","595.776","4.23085"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta73_8a_alloc1.dzn","SATISFIED","605.4806650951505","206528","218798","","4200","210628","","","","","","105200","minimize","results","2744","0","8269","","60","","","","15.4923"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta51_4a_alloc3.dzn","SATISFIED","601.5284484121948","39956","44564","0.5293","1600","41506","21","0","43064","285","4069779253","20725","minimize","results","34","0","3107","373343","21","750465","63688","596.728","3.27564"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta80_8a_alloc2.dzn","SATISFIED","606.8890726305544","206561","218774","","4200","210661","","","","","","105200","minimize","results","-1087","0","8213","","8","","","","20.4153"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta64_4a_alloc2.dzn","OPTIMAL_SOLUTION","31.545764222741127","53216","59325","0.839011","2100","55266","89","0","57328","718","50212843","27600","minimize","results","-10942","0","4112","5719","89","38721","84824","24.5947","4.70976"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta35_3a_alloc2.dzn","OPTIMAL_SOLUTION","6.359829464927316","14962","17730","0.213306","960","15892","71","0","16832","443","12059401","7935","minimize","results","-7085","0","1870","2672","71","17732","24704","4.21708","1.51859"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta37_3a_alloc2.dzn","SATISFIED","600.6169907283038","14961","17729","0.195215","960","15891","29","0","16829","213","4256532320","7935","minimize","results","-4776","0","1868","888800","29","1780040","24703","598.67","1.33049"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta40_2a_alloc1.dzn","OPTIMAL_SOLUTION","4.50555482879281","14962","17728","0.192298","960","15892","7","0","16828","205","22591191","7935","minimize","results","0","0","1865","3199","7","7332","24702","2.62536","1.36216"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta77_8a_alloc1.dzn","SATISFIED","605.7732899785042","206560","218830","","4200","210660","","","","","","105200","minimize","results","1034","0","8269","","8","","","","15.5291"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta74_6a_alloc3.dzn","SATISFIED","605.5766210276634","206560","218803","","4200","210660","","","","","","105200","minimize","results","-73131","0","8242","","246","","","","16.4194"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta55_5a_alloc3.dzn","SATISFIED","601.5547671634704","39956","44566","0.531448","1600","41506","17","0","43066","220","2894758955","20725","minimize","results","-2716","0","3110","475686","17","952762","63690","596.709","3.29366"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta73_6a_alloc2.dzn","SATISFIED","605.9820040240884","206562","218804","","4200","210662","","","","","","105200","minimize","results","855","0","8241","","41","","","","15.8245"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta77_5a_alloc1.dzn","SATISFIED","605.7818302158266","206559","218791","","4200","210659","","","","","","105200","minimize","results","-58578","0","8231","","231","","","","15.9625"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta49_2a_alloc3.dzn","OPTIMAL_SOLUTION","5.89579514041543","19906","23572","0.267351","1260","21136","13","0","22372","261","26168973","10560","minimize","results","0","0","2465","3144","13","8287","32871","3.46631","1.71818"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta75_5a_alloc1.dzn","SATISFIED","605.4913608301431","206557","218788","","4200","210657","","","","","","105200","minimize","results","1514","0","8230","","23","","","","15.8012"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta44_3a_alloc3.dzn","OPTIMAL_SOLUTION","10.613113345578313","19908","23576","0.294897","1260","21138","78","0","22378","600","22722853","10560","minimize","results","-10066","0","2470","3964","78","28129","32875","7.91193","1.89675"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta53_4a_alloc1.dzn","SATISFIED","601.8153419326991","39956","44565","0.613679","1600","41506","19","0","43065","220","2763528852","20725","minimize","results","-2973","0","3109","455134","19","911837","63689","596.434","3.57145"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta41_3a_alloc3.dzn","OPTIMAL_SOLUTION","9.143384454771876","19908","23576","0.303258","1260","21138","59","0","22378","600","20578033","10560","minimize","results","-10227","0","2470","3216","59","21805","32875","6.37496","1.98679"
